Ecoinvent_flow,Ecoinvent_unit,Direction,UUID,Total_amount,Total_mass_kg,Subsystems
"aluminium alloy, AlMg3",kg,Input,8c3b8032-b310-4dfe-9a9b-93fbd369142d,10.35367127,10.35367127,mechanical_components
"aluminium, primary, cast alloy slab from continuous casting",kg,Input,f6161096-34e3-49c9-911e-060659b0dea1,0.002796,0.002796,4Q_power_card
brass,kg,Input,57771ae0-5e8b-47be-bb73-ba59f2bf8cc8,0.032,0.032,"4Q_output_power_card, 4Q_power_card"
"capacitor production, electrolyte type, < 2cm height",kg,Input,5036886d-4b0a-4c87-956d-50d85d9abaab,0.0139019785,0.0139019785,"4Q_power_card, analog_control, digital_control, fan_supervision_card, inverter_power_card"
"capacitor production, electrolyte type, > 2cm height",kg,Input,5f06394c-4efd-4c65-9e82-5fd3cbebbd15,0.8915588,0.8915588,"4Q_power_card, filter_card"
"capacitor production, film type, for through-hole mounting",kg,Input,1edf4d42-6315-49ab-89b8-cd8dd643f43c,0.5895252225,0.5895252225,"4Q_output_power_card, 4Q_power_card, filter_card, fuse_card, inverter_power_card"
"capacitor production, for surface-mounting",kg,Input,c924ae77-ba85-4856-bc7a-2f249809872b,0.01079382096,0.01079382096,"4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, inverter_power_card"
"copper, cathode",kg,Input,fbb039f7-f9cc-46d2-b631-313ddb125c1a,0.038,0.038,"contactor_card, inverter_power_card, mechanical_components"
"diode production, glass-, for surface-mounting",kg,Input,38dddb73-6677-4128-9a82-5c6668eceb29,0.00703612476,0.00703612476,"4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card"
"diode production, glass-, for through-hole mounting",kg,Input,0fd2627f-cd91-40c7-b168-8d7847ffb1fc,0.00028748,0.00028748,"4Q_output_power_card, 4Q_power_card"
"electric connector production, peripheral type buss",kg,Input,9cc41404-5a63-4005-82a2-884dc147fc3f,0.418935,0.418935,"analog_control, contactor_card, digital_control, filter_card, fuse_card, inverter_power_card"
"electric connector production, wire clamp",kg,Input,6716b460-7ba0-4cea-baa4-32ae24bfb88c,0.19132372328,0.19132372328,"4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, control_backplane_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card"
"electronic component production, active, unspecified",kg,Input,d1e72526-546c-48f2-a363-e1e3b1c9aebc,1.252442,1.252442,"4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card"
"electronic component, passive, unspecified",kg,Input,4e252b55-fb08-4447-8391-d09e8bbb0238,0.141598366666,0.141598366666,"4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card"
"epoxy resin, liquid",kg,Input,51c7e57a-00b7-4412-b56c-94c17b211ee7,0.02536443,0.02536443,4Q_output_power_card
"inductor production, low value multilayer chip",kg,Input,,0.00068144,0.00068144,"analog_control, digital_control"
"inductor production, ring core choke type",kg,Input,3c3632b8-ce5b-4957-ac59-54e931ccd247,0.01111996232,0.01111996232,"analog_control, digital_control"
injection moulding,kg,Input,68d6dfcf-2089-4586-9bbf-ad75591105cf,0.00129,0.00129,digital_control
"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,4c5db6d0-a23c-4794-a259-3f63b780d853,0.02168,0.02168,inverter_power_card
"integrated circuit production, logic type",kg,Input,ad2a5d44-4e6d-430d-873b-0068ea24b9d5,0.017316181832,0.017316181832,"4Q_power_card, analog_control, digital_control, inverter_power_card"
light emitting diode production,kg,Input,084469ca-e2a7-4951-8753-60629e461823,0.00098096,0.00098096,"contactor_card, digital_control, inverter_power_card"
"market for metal working, average for metal product manufacturing",kg,Input,,0.00126385,0.00126385,4Q_power_card
"market for steel, low-alloyed",kg,Input,,0.0101108,0.0101108,"control_backplane_card, fan_supervision_card"
"metal working, average for aluminium product manufacturing",kg,Input,8c3b8032-b310-4dfe-9a9b-93fbd369142d,10.35646727,10.35646727,"4Q_power_card, mechanical_components"
"metal working, average for chromium steel product manufacturing",kg,Input,a5fc651b-3ee2-405f-b2f0-d035c8132be1,0.00164785,0.00164785,4Q_output_power_card
"metal working, average for copper product manufacturing",kg,Input,ec161f58-adae-4afc-ba38-14659925b080,0.07,0.07,"4Q_output_power_card, 4Q_power_card, contactor_card, inverter_power_card, mechanical_components"
"metal working, average for metal product manufacturing",kg,Input,,0.0101108,0.0101108,"control_backplane_card, fan_supervision_card"
"metal working, average for steel product manufacturing",kg,Input,79632c4b-f876-4c89-bf27-b864b30566be,0.00126385,0.00126385,inverter_power_card
"mounting, surface mount technology, Pb-free solder",m2,Input,ca2b5076-f230-473d-9272-da1a678b4f93,0.112,,"4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card"
"mounting, through-hole technology, Pb-free solder",m2,Input,66084f92-4bed-46cb-931e-7ea8300c0972,0.18055,,"4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card"
polycarbonate,kg,Input,e0d6f217-d1e3-4d5d-8b8a-b13c846d4ad6,0.00129,0.00129,digital_control
"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,cf11031f-462b-48ce-857b-f36ed83e0095,0.14529,,"4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card"
"resistor production, surface-mounted",kg,Input,b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,0.0081302195,0.0081302195,"4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, inverter_power_card"
"resistor production, wirewound, through-hole mounting",kg,Input,db1c2047-0778-4de6-a5ce-2e1714278d34,0.005948,0.005948,contactor_card
"resistor, metal film type, through-hole mounting",kg,Input,92d9032c-7554-43a7-87b7-59ced4c2516a,0.00641001,0.00641001,"4Q_output_power_card, filter_card, fuse_card"
"steel, chromium steel 18/8",kg,Input,c33b5236-001e-49b5-aa3d-810c0214f9ce,0.00164785,0.00164785,4Q_output_power_card
"steel, low-alloyed",kg,Input,817c3650-4fed-4ef2-b9b6-404a198834e6,0.0025277,0.0025277,"4Q_power_card, inverter_power_card"
"transformer production, low voltage use",kg,Input,33903d25-0ea9-3fde-96d4-f3e0c10deb33,0.12618,0.12618,"contactor_card, filter_card, inverter_power_card"
"transistor production, surface-mounted",kg,Input,3422a31d-cb51-4f19-a659-28798bf18e54,0.0010421775,0.0010421775,"4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card"
"transistor production, wired, big size, through-hole mounting",kg,Input,b88d0305-a1db-4575-abad-16cb9214b14d,0.10298,0.10298,"4Q_output_power_card, 4Q_power_card, contactor_card"
"transistor production, wired, small size, through-hole mounting",kg,Input,233843d2-7fda-443f-8735-547f06711c6d,0.0038,0.0038,4Q_power_card
