System,Subsystem,Categories,Source_subsystems,Component_rows
Assembly Processes,SMD,,"4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, inverter_power_card",7
Assembly Processes,THT,,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",10
Discrete Semiconductors,ESD Protection,NXP,digital_control,1
Discrete Semiconductors,Optoelectronics,LED,"contactor_card, digital_control, inverter_power_card",4
Discrete Semiconductors,Power,"General purpose, IGBT, MOSFET, Rectifier diode, Schottky Rectifier, Schottky rectifier","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, contactor_card, digital_control, inverter_power_card",10
Discrete Semiconductors,Small signal,"BJT, Bipolar Transistor, Bipolar semiconductors, Bipolar transistor, Current Regulative, Diode, Dual, Dual Diode, ESD Protection, MOSFET, Rectifier, Schottky, Switching, TVS, Zener, Zener Diodes","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card",43
Electromechanical,Connectors,"D-Sub, FFC/FPC, High-Density Array, High-Speed I/O, Modular Jack, PicoBlade, Pin Header, Right Angle Header, USB","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, control_backplane_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",45
Electromechanical,Fuse holder,,"4Q_output_control_card, fuse_card",3
Electromechanical,Relays,,contactor_card,1
Electromechanical,Switches,"Contact Block, DIP Switch, Emergency Stop Pushbutton Head","digital_control, fan_supervision_card",4
Hardware,Enclosure,,fuse_card,1
Hardware,Mounting hardware,CERN,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, control_backplane_card, digital_control, fan_supervision_card, inverter_power_card",12
Hardware,Thermal Management,Heatsink,"4Q_output_control_card, 4Q_power_card, contactor_card",3
IC,Analog,"Amplifier, Comparator, Driver, Multiplexer, Power Management, Power management, Reference, Sensor, Switch","4Q_output_control_card, 4Q_power_card, analog_control, digital_control, inverter_power_card",28
IC,Digital,"IO Expander, Interface, Logic","4Q_output_control_card, analog_control, digital_control, inverter_power_card",17
IC,Logic / Mixed-Signal,USB Interface,digital_control,1
IC,Memory,EEPROM,"analog_control, digital_control",3
IC,Mixed signal,Isolated Amplifier,4Q_power_card,2
IC,Mixed-Signal,"ADC, DAC, Data Acquisition, Interface, Isolated Digital Input, Isolator, Power Monitor, Voltage Translator","analog_control, digital_control",10
IC,Optoelectronics,Optocoupler,digital_control,1
Magnetics,Current sensing,,inverter_power_card,1
Magnetics,Inductors,,filter_card,1
Mechanical components,control,,mechanical_components,2
Mechanical components,cover,,mechanical_components,3
Mechanical components,heatsink,,mechanical_components,1
Mechanical components,panel,,mechanical_components,5
Mechanical components,separator,,mechanical_components,1
Mechanical components,spacer,,mechanical_components,1
Modules,DC/DC Converters,,"4Q_output_control_card, 4Q_power_card, analog_control, inverter_power_card",4
Modules,Hybrid relays,Solid State Relay,"4Q_output_control_card, 4Q_power_card, contactor_card, digital_control, inverter_power_card",5
Modules,Sensors,Current transducer,"4Q_output_power_card, 4Q_power_card",3
Passives,Capacitors,"Electrolytic, Film, MLCC, Paper, Tantalum","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",86
Passives,Crystals,Quartz,digital_control,1
Passives,Electromechanical,Connectors,filter_card,1
Passives,Inductors,"Common Mode Choke, Ferrite Bead, Power Inductor","analog_control, digital_control",13
Passives,Protection,"Fuse, PTC Fuse","4Q_output_control_card, analog_control, contactor_card, digital_control, fan_supervision_card, fuse_card, inverter_power_card",9
Passives,Resistors,"Current Sense, Precision Metal Foil Resistor, Resistor Divider, Resistor Network, Switch Mounting Collar, Thick Film, Thin Film, Trimmer, Zero Ohm, Zero Ohm Jumper","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",113
Passives,Test PIN,,"4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, filter_card, inverter_power_card",6
PCB,,,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",10
