Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.0195,6.331169,6.331169,0.006331168831,area-based,
76,1,36,AUTO,Passives,Inductors,L8,,7447797180,EcoInvent,"inductor production, ring core choke type",kg,Input,0.004,2.0,4.0,0.004,mass-based,
77,1,36,AUTO,Passives,Inductors,L9,,7447798221,EcoInvent,"inductor production, ring core choke type",kg,Input,0.004,2.0,4.0,0.004,mass-based,
82,1,38,AUTO,Hardware,Mounting Hardware,LP5,,RLP4-200-500,EcoInvent,polycarbonate,kg,Input,0.00129,1.29,1.29,0.00129,mass-based,
82,1,38,AUTO,Hardware,Mounting Hardware,LP5,,RLP4-200-500,EcoInvent,injection moulding,kg,Input,0.00129,1.29,1.29,0.00129,mass-based,
83,1,39,AUTO,Electromechanical,Switches,"PB1, PB2, PB3",,B3U-1100P,EcoInvent,"electronic component, passive, unspecified",kg,Input,6.6e-05,0.022,0.066,6.6e-05,mass-based,
131,1,47,AUTO,Assembly Processes,SMD,SMD_PROCESS,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,0.0195,,,,area-based,
132,1,48,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,0.0195,,,,area-based,
2,2,2,MLCC,Passives,Capacitors,"C1, C2, C5, C7, C9, C11, C14, C15, C16, C17, C18, C20, C21, C23, C24, C26, C27, C29, C30, C32, C33, C35, C36, C38, C39, C41, C44, C47, C48, C49, C50, C54, C55, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C78, C79, C80, C81, C86, C87, C88, C89, C94, C96, C99, C106, C108, C110, C111, C112, C113, C116, C117, C118, C119, C120, C122, C123, C124, C125, C126, C128, C129, C130, C131, C132, C133, C134, C135, C138, C139, C140, C141, C142, C143, C167_DIG_IND_IN_1, C167_DIG_IND_IN_2, C167_DIG_IND_IN_3, C167_DIG_IND_IN_4, C167_DIG_IND_IN_5, C167_DIG_IND_IN_6, C167_DIG_IND_IN_7, C167_DIG_IND_IN_8, C167_DIG_IND_IN_9, C167_DIG_IND_IN_10, C167_DIG_IND_IN_11, C167_DIG_IND_IN_12, C167_DIG_IND_IN_13, C167_DIG_IND_IN_14, C171, C173, C175, C187, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C257, C258, C261, C262, C270, C271, C272, C274, C275, C276, C277, C278, C279, C280, C288",0402,CC0402_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000273,0.001625,0.273,0.000273,mass-based,
3,2,2,MLCC,Passives,Capacitors,"C3, C4",0402,CC0402_22PF_50V_5%_C0G,EcoInvent,"capacitor production, for surface-mounting",kg,Input,3.25e-06,0.001625,0.00325,3.25e-06,mass-based,
