Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,,,,,,,,,,,,,,,
PCB,,PCB,,,,,,1,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,"The only model of bare PCB",,,,,,,,,,,,,,,
"C1, C2, C5, C7, C9, C11, C14, C15, C16, C17, C18, C20, C21, C23, C24, C26, C27, C29, C30, C32, C33, C35, C36, C38, C39, C41, C44, C47, C48, C49, C50, C54, C55, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C78, C79, C80, C81, C86, C87, C88, C89, C94, C96, C99, C106, C108, C110, C111, C112, C113, C116, C117, C118, C119, C120, C122, C123, C124, C125, C126, C128, C129, C130, C131, C132, C133, C134, C135, C138, C139, C140, C141, C142, C143, C167_DIG_IND_IN_1, C167_DIG_IND_IN_2, C167_DIG_IND_IN_3, C167_DIG_IND_IN_4, C167_DIG_IND_IN_5, C167_DIG_IND_IN_6, C167_DIG_IND_IN_7, C167_DIG_IND_IN_8, C167_DIG_IND_IN_9, C167_DIG_IND_IN_10, C167_DIG_IND_IN_11, C167_DIG_IND_IN_12, C167_DIG_IND_IN_13, C167_DIG_IND_IN_14, C171, C173, C175, C187, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C257, C258, C261, C262, C270, C271, C272, C274, C275, C276, C277, C278, C279, C280, C288",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0402",168,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C3, C4",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_22PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 22pF, 50V, C0G, 0402",2,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C6, C13, C22, C25, C28, C31, C34, C37, C40, C109, C115, C121, C127",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_22UF_10V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 22µF, 10V, X5R, 0603",13,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C8, C10, C19",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_4.7UF_6.3V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 4.7µF, 6.3V, X5R, 0402",3,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C12, C46, C51, C52, C53, C170, C172, C174, C273",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10UF_6.3V_20%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",9,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C42, C160, C165, C166, C177, C178, C179, C184, C185, C186, C264",1210,Passives,Capacitors,MLCC,GENERIC,CC1210_10UF_75V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 75V, X7R, 1210",11,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
C43,1210,Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_16V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 47µF, 16V, X5R, 1210",1,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
"C45, C182, C183",C,Passives,Capacitors,Tantalum,GENERIC,CTE6032-28_22UF_25V_10%_LESR0250,"Low ESR 0R25 Solid Tantalum Chip Capacitor, 22µF, 25V, 6032",3,kg,0.0003,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,"mASS INFO: https://www.mouser.ch/ProductDetail/KEMET/T491C226M025AT2478?qs=xy9o06WtvdCrW9e4Ll4TFg%3D%3D",,,,,,,,,,,,,,,
"C56, C57, C72, C73, C74, C75, C76, C77, C82, C83, C84, C85, C90, C91, C93, C95, C97, C98, C100, C101, C136, C137, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C211, C212, C247, C248, C249, C250, C254, C255, C256, C259, C260, C281, C282, C283, C284, C285, C286, C287, C289, C290, C291",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0805",57,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402 ",,,,,,,,,,,,,,,
