Flow,UUID,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0195,Input
"inductor production, ring core choke type",3c3632b8-ce5b-4957-ac59-54e931ccd247,kg,0.008,Input
polycarbonate,e0d6f217-d1e3-4d5d-8b8a-b13c846d4ad6,kg,0.00129,Input
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,kg,0.00129,Input
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.00587056875,Input
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.0195,Input
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.0195,Input
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.00258612796,Input
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.0009,Input
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.0053633875,Input
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.006277641,Input
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000927,Input
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.313532,Input
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.0012066,Input
"inductor production, low value multilayer chip",736906f7-164e-4155-9fb4-894177303917,kg,0.00013144,Input
light emitting diode production,084469ca-e2a7-4951-8753-60629e461823,kg,0.00028096,Input
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.002018637,Input
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,6.57e-05,Input
