Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
PCB,,PCB,,,Panel of 2,EDA-05137-V1,"Panel of 2, 160x105 mm",1,m2,,YES,160,105,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices."
"IGBT_A1, A2, B1, B2",TO-247,Discrete Semiconductors,Power,IGBT,Infineon,IKW25N120H3,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,4,kg,0.00542,YES,,,,,,,,,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,"This dataset is IGBT-specific, based on direct inspection of a commercial device, ensuring high technological representativeness. The IGBT analyzed (1200V, 50A) is used in power applications (electric vehicles, inverters), so the technology matches perfectly."
"IC1, IC2",,IC,Analog,Power management,Infineon,2ED3141MC12L,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,2,kg,,NO,10.3,7.5,2.35,,1.2,1.3,0.15,,EcoInvent,"integrated circuit production, logic type",kg,Input,"The Dual‑Channel Isolated Gate Driver IC is a mixed‑signal CMOS/BiCMOS integrated circuit. As no specific LCI exists for gate‑driver or mixed‑signal ICs,this dataset is selected."
IC3–IC6,,Modules,DC/DC Converters,,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",4,kg,0.0048,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"It is intentionally designed as a ""rough proxy"" for active components when no better data exists.  Generic active component dataset used with mass scaling. This introduces uncertainty but is the best available option. The automotive converter dataset was rejected due to extreme scale difference."
REG1,D2PAK,IC,Analog,Power management,STMicroelectronics,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,"This means its production process aligns with IC manufacturing. The dataset includes packaging, and that's what matters for the bill of materials and assembly impacts."
IC7,DIP6 SMD,Modules,Hybrid relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component."
IC8,SOIC16,IC,Digital,Interface,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,"logic IC, the packaging technology (die attach, wire bonding) is relevant. The function matches."
F1,,Passives,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,"There is a big stimation, the other alternative is more described but it dit not the same technology."
D1–D4,SOD-80C,Discrete Semiconductors,Small signal,Zener Diodes,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD)
"D5, D6",SOD-80C,Discrete Semiconductors,Small signal,Zener Diodes,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,2,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD)
D7,DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,"""it is SMD"","
D8–D11,SOT23-3,Discrete Semiconductors,Small signal,TVS,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD)
