Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
machined_heatsink,,Mechanical components,heatsink,kg,kg,4.3,4.3,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,4.3,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,1,1,1,DATASHEET_QTY_KG,,4300.0,,MISSING,
bottom_side,,Mechanical components,panel,kg,kg,3.35,3.35,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,3.35,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,2,1,2,DATASHEET_QTY_KG,,3350.0,,MISSING,
rear_panel,,Mechanical components,panel,kg,kg,0.17,0.17,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.17,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,3,1,2,DATASHEET_QTY_KG,,170.0,,MISSING,
fan_panel,,Mechanical components,panel,kg,kg,0.1,0.1,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.1,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,4,1,2,DATASHEET_QTY_KG,,100.0,,MISSING,
side_panel,,Mechanical components,panel,kg,kg,0.39,0.39,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.39,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,8,1,2,DATASHEET_QTY_KG,,390.0,,MISSING,
puls_panel,,Mechanical components,panel,kg,kg,0.02,0.02,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.02,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,10,1,2,DATASHEET_QTY_KG,,20.0,,MISSING,
FGC4 frame,,Mechanical components,panel,kg,kg,0.454,0.454,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.454,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,12,1,2,DATASHEET_QTY_KG,,454.0,,MISSING,
Schroff crate,,Mechanical components,panel,kg,kg,0.68767127,0.68767127,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.68767127,NO,,,,258.038,2.66,2.67,,,Ecoinvent,Input,Mass calculated from volume and density of the AG3 aluminium,13,1,2,CALCULATED,258.038,687.67127,2.665,MIN_MAX_AVG,
front_cover,,Mechanical components,cover,kg,kg,0.25,0.25,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.25,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,5,1,3,DATASHEET_QTY_KG,,250.0,,MISSING,
rear_cover,,Mechanical components,cover,kg,kg,0.47,0.47,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.47,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,6,1,3,DATASHEET_QTY_KG,,470.0,,MISSING,
rear_cover_support,,Mechanical components,cover,kg,kg,0.012,0.012,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.012,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,9,1,3,DATASHEET_QTY_KG,,12.0,,MISSING,
separator,,Mechanical components,separator,kg,kg,0.15,0.15,"market for aluminium alloy, AlMg3+metal working, average for aluminium product manufacturing",AUTO,,,,1,0.15,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,7,1,4,DATASHEET_QTY_KG,,150.0,,MISSING,
igbt_spacer,,Mechanical components,spacer,kg,kg,0.004,0.004,"market for copper, cathode + metal working, average for copper product manufacturing",AUTO,,,,1,0.004,YES,,,,,,,,,Ecoinvent,Input,Explain in the documentation,11,1,5,DATASHEET_QTY_KG,,4.0,,MISSING,
