Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05282-V1,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.02255,7.321429,7.321429,0.007321428571,area-based,
12,1,8,AUTO,Passives,Protection,F1,,G076458,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.0025,2.5,2.5,0.0025,mass-based,
13,1,8,AUTO,Passives,Protection,"F3,F4",,microSMD005F,EcoInvent,"electronic component, passive, unspecified",kg,Input,2.0037417e-05,0.010019,0.020037,2.0037417e-05,mass-based,
14,1,9,AUTO,Electromechanical,Fuse holder,"FH1, FH3",,1A1907-06-R,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.00148,0.74,1.48,0.00148,mass-based,
42,1,9,AUTO,Electromechanical,Fuse holder,FH2,,1A1907-06-R,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.00074,0.74,0.74,0.00074,mass-based,
16,1,11,AUTO,Modules,Hybrid relays,"IC2, IC3",DIP6 SMD,AQV210EHA,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.000854,0.427,0.854,0.000854,mass-based,
17,1,12,AUTO,Modules,DC/DC Converters,IC4,,TEN 6-2415N,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.0127,12.7,12.7,0.0127,mass-based,
18,1,13,AUTO,IC,Analog,"IC5, IC6",TO-92,DS18B20,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000428,0.214,0.428,0.000428,mass-based,
19,1,13,AUTO,IC,Analog,"IC7, IC8",SOIC8,INA141U,EcoInvent,"integrated circuit production, logic type",kg,Input,8.0262e-05,0.040131,0.080262,8.0262e-05,mass-based,
20,1,14,AUTO,Electromechanical,Connectors,"J1,J3",,1-770166-0,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00156,0.78,1.56,0.00156,mass-based,
21,1,14,AUTO,Electromechanical,Connectors,J2,,640900-1,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00319,3.19,3.19,0.00319,mass-based,
22,1,14,AUTO,Electromechanical,Connectors,J4,,N3429-6302RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.0211603712,21.160371,21.160371,0.0211603712,mass-based,
23,1,14,AUTO,Electromechanical,Connectors,"J5,J6",,N3428-6302RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.03636257408,18.181287,36.362574,0.03636257408,mass-based,
24,1,15,AUTO,Passives,Resistors,"R1 > R99, R121 > R123, R125 > R127, R129 > R131",1206,R1206_100R_1%_0.25W_100PPM ,EcoInvent,"resistor production, surface-mounted",kg,Input,0.001388448,0.012856,1.388448,0.001388448,mass-based,
25,1,15,AUTO,Passives,Resistors,"R100 > R109; R111 > R120, R124, R128; R133 > R136; R146 > R148; R150 > R152, R154, R165; R169 > R178, R180, R181; R190, R191, R194, R195; R197, R198",1206,R1206_100K_1%_0.25W_100PPM ,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000668512,0.012856,0.668512,0.000668512,mass-based,
26,1,15,AUTO,Passives,Resistors,"R110, R138 > R143, R155 > R164",1206,R1206_1K_1%_0.25W_100PPM ,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000218552,0.012856,0.218552,0.000218552,mass-based,
27,1,15,AUTO,Passives,Resistors,"R132, R137, R144, R145; R149, R166 > R168, R179; R182 > R189, R192, R193; R196, R201, R206 > R208; R211 > R214; R217 > R219",1206,R1206_10K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000398536,0.012856,0.398536,0.000398536,mass-based,
28,1,15,AUTO,Passives,Resistors,"R153, R204, R205 ",1206,R1206_10R_1%_0.25W_200PPM ,EcoInvent,"resistor production, surface-mounted",kg,Input,3.8568e-05,0.012856,0.038568,3.8568e-05,mass-based,
38,1,23,AUTO,Passives,Test PIN,TP1 > TP6,,20-2136,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.00048,0.08,0.48,0.00048,mass-based,
40,1,25,AUTO,Hardware,Mounting hardware,"J4, J5, J6  screws",,3341-5,EcoInvent,"metal working, average for metal product manufacturing",kg,Input,0.00379155,0.631925,3.79155,0.00379155,mass-based,
40,1,25,AUTO,Hardware,Mounting hardware,"J4, J5, J6  screws",,3341-5,EcoInvent,"market for steel, low-alloyed",kg,previous input,0.00379155,0.631925,3.79155,0.00379155,mass-based,
43,1,27,AUTO,Assembly Processes,SMD,SMD_PROCESS,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,0.02255,,,,area-based,
44,1,28,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,0.02255,,,,area-based,
2,2,2,MLCC,Passives,Capacitors,"C1, C4, C8, C12,C15, C16, C23 > C26,C36, C37, C41, C43, C44",1206,CC1206_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.00084864,0.056576,0.84864,0.00084864,mass-based,
3,2,2,MLCC,Passives,Capacitors,"C2,C14",1206,CC1206_1UF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
4,2,2,MLCC,Passives,Capacitors,"C3, C6, C7, C10, C13,C17, C18, C21, C22,C33 > C35, C38 > C40,C42, C45",1206,CC1206_1NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000961792,0.056576,0.961792,0.000961792,mass-based,
