Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05280-V1,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.017,5.519481,5.519481,0.005519480519,area-based,
2,1,2,AUTO,Passives,Test PIN,"0V_B1, 0V_B2, 15V_A1, 15V_A2, 15V_B1, 15V_B2, 24V, 4Q_I_MEAS_M, 4Q_I_MEAS_P, BC_CMD, CDE_A1, CDE_A2, CDE_B1, CDE_B2, G_A1, G_A2, G_B1, G_B2, GND, V_DC_M, V_DC_P, V_HA, V_HB",,20-2136,EcoInvent ,"electronic component, passive, unspecified",kg,Input,0.002,0.08,2.0,0.002,mass-based,
3,1,3,AUTO,Electromechanical,Connectors,"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,7460305,EcoInvent,"metal working, average for copper product manufacturing",kg,Input,0.016,4.0,16.0,0.016,mass-based,
3,1,3,AUTO,Electromechanical,Connectors,"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,7460305,EcoInvent,"Market for copper, cathode",kg,previous input,0.016,4.0,16.0,0.016,mass-based,
3,1,3,AUTO,Electromechanical,Connectors,"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,7460305,EcoInvent,"market for zinc, primary",kg,previous input,0.016,4.0,16.0,0.016,mass-based,
24,1,3,AUTO,Electromechanical,Connectors,J1,,1-770166-0,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00078,0.78,0.78,0.00078,mass-based,
25,1,3,AUTO,Electromechanical,Connectors,J2,,N3429-6302RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.0211603712,21.160371,21.160371,0.0211603712,mass-based,
20,1,14,AUTO,Module,DC/DC Converters,IC4–IC7,,TRV 1-2413M,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.0192,4.8,19.2,0.0192,mass-based,
21,1,15,AUTO,IC,Mixed signal,IC8,SOIC16,AM26LV32IDR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001853125,0.185313,0.185313,0.0001853125,mass-based,
28,1,20,AUTO,Passives,Resistors,"R1, R10 > R13, R61,R80 > R84",1206,R1206_100K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000141416,0.012856,0.141416,0.000141416,mass-based,
