"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","Other_extra_g","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Database_component_title","Comments",
"PCB",,"PCB",,,"Panel of 2","EDA-04976-V1",,"1","m2",,"YES","170","100",,,,,,,"EcoInvent","printed wiring board production, for power supply unit, desktop computer, Pb free","m2","Input",,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",
"0V_B1, 0V_B2, 15V_A1, 15V_A2, 15V_B1, 15V_B2, 24V, 4Q_I_MEAS_M, 4Q_I_MEAS_P, BC_CMD, CDE_A1, CDE_A2, CDE_B1, CDE_B2, G_A1, G_A2, G_B1, G_B2, GND, V_DC_M, V_DC_P, V_HA, V_HB",,Passives,Test PINs,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,kg,8e-05,YES,,,,,,,,,EcoInvent ,"electronic component, passive, unspecified",kg,Input,,Passive generic,  
"BUSH_1, BUSH_2,BUSH_V_HA, BUSH_V_HB",,"Passives","Connectors",,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,kg,0.004,YES,,,,,,,,,EcoInvent,"Mmarket for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input,,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk"
"C2-C5","1206","Passives","Capacitors (mounted)",,"GENERIC","CC1206_1NF_50V_10%_X7R","±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor","4","kg",,"NO","3.2","1.6","1.7",,"6","7","0",,"EcoInvent","capacitor production, for surface-mounting","kg","Input","0.055-0.06","SMD type capacitors"" and ""termination (SMT),MLCCs.",
"C6-C25","1206","Passives","Capacitors (mounted)",,"GENERIC","CC1206_100NF_200V_10%_X7R","±10% 200V X7R SMD Ceramic Chip Capacitor","20","kg",,"NO","3.2","1.6","1.7",,"6","7","0",,"EcoInvent","capacitor production, for surface-mounting","kg","Input","0.055-0.06","SMD type capacitors"" and ""termination (SMT),MLCCs.",
"C26, C34, C50, C52–C61, C65, C68, C69, C73, C77","1206","Passives","Capacitors (mounted)",,"GENERIC","CC1206_100NF_50V_10%_X7R","±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor","33","kg",,"NO","3.2","1.6","1.7",,"6","7","0",,"EcoInvent":"capacitor production, for surface-mounting","kg","Input","0.055-0.06":"SMD type capacitors"" and ""termination (SMT),MLCCs.",
"C29,C51",,Passives,Capacitors (mounted),,WIMA,MKS4F053307H00MSSD,±20% 250VDC/160VAC Metallized Polyester Film Capacitor (MKS4),2,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,
"C30-C33",E,Passives,Capacitors (mounted),,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,4,kg,,NO,7.3,4.3,4.1,,5,6,0,,"capacitor production, electrolyte type, < 2cm height",kg,Input,EcoInvent,,Defined by the casing amd the function,
"C62, C64, C66, C67,C70 > C72, C75","1206","Passives","Capacitors (mounted)",,"GENERIC","CC1206_1NF_50V_10%_X7R","±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor","8","kg",,"NO","3.2","1.6","1.7",,"6","7","0",,"EcoInvent","capacitor production, for surface-mounting","kg","Input",,"SMD type capacitors"" and ""termination (SMT),MLCCs.",
"C63, C78-0C81",,Passives,Capacitors (mounted),,VISHAY BCCOMPONENTS,"MAL205253471E3","+30% -10% 250V Radial Aluminum Capacitor Power Eurodin Printed Wiring(052 PED-PW Series)","5","kg",0.066,"YES",,,,,,,,,"EcoInvent","capacitor production, electrolyte type, > 2cm height","kg","Input",,"In the datasheet it specifies that is electrolytic that is more than 2cm and the aproximated mass ",
