Flow,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.017,Input
"electronic component, passive, unspecified",kg,0.002,Input
"metal working, average for copper product manufacturing",kg,0.016,Input
"Market for copper, cathode",kg,0.016,previous input
"market for zinc, primary",kg,0.016,previous input
"electric connector production, wire clamp",kg,0.0219403712,Input
"electronic component production, active, unspecified",kg,0.029627,Input
"integrated circuit production, logic type",kg,0.003504454388,Input
"resistor production, surface-mounted",kg,0.001079904,Input
"market for metal working, average for metal product manufacturing",kg,0.00126385,previous input
"market for steel, low-alloyed",kg,0.00126385,previous input
"mounting, surface mount technology, Pb-free solder",m2,0.028,Input
"mounting, through-hole technology, Pb-free solder",m2,0.028,Input
"capacitor production, for surface-mounting",kg,0.003790592,Input
"capacitor production, film type, for through-hole mounting",kg,0.1223586,Input
"capacitor production, electrolyte type, < 2cm height",kg,0.002831378,Input
"capacitor production, electrolyte type, > 2cm height",kg,0.33,Input
"transistor production, wired, small size, through-hole mounting",kg,0.0038,Input
"diode production, glass-, for through-hole mounting",kg,3.748e-05,Input
"diode production, glass-, for surface-mounting",kg,0.000317509552,Input
"transistor production, wired, big size, through-hole mounting",kg,0.05962,Input
"transistor production, surface-mounted",kg,4.10625e-05,Input
"metal working, average for aluminium product manufacturing",kg,0.002796,Input
"market for aluminium, primary",kg,0.002796,previous input
