Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05282-V1,EcoInvent,,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.02255,,,,area-based,
12,1,8,AUTO,Passives,Protection,F1,,G076458,EcoInvent,,"electronic component, passive, unspecified",kg,Input,0.0025,2.5,2.5,0.0025,mass-based,
13,1,9,AUTO,Passive,Protection,"F3,F4",,microSMD005F,EcoInvent,,"electronic component, passive, unspecified",kg,Input,2.0037417e-05,0.010019,0.020037,2.0037417e-05,mass-based,
14,1,10,AUTO,Electromechanical,Fuse holder,"FH1, FH3",,1A1907-06-R,EcoInvent,,"electronic component, passive, unspecified",kg,Input,0.00148,0.74,1.48,0.00148,mass-based,
16,1,12,AUTO,Module,Hybrid relays,"IC2, IC3",DIP6 SMD,AQV210EHA,EcoInvent,,"electronic component production, active, unspecified",kg,Input,0.000854,0.427,0.854,0.000854,mass-based,
17,1,13,AUTO,Module,DC/DC Converters,IC4,,TEN 6-2415N,EcoInvent,,"electronic component production, active, unspecified",kg,Input,0.0127,12.7,12.7,0.0127,mass-based,
18,1,14,AUTO,IC,Analog,"IC5, IC6",TO-92,DS18B20,EcoInvent,,"integrated circuit production, logic type",kg,Input,0.000428,0.214,0.428,0.000428,mass-based,
19,1,14,AUTO,IC,Analog,"IC7, IC8",SOIC8,INA141U,EcoInvent,,"integrated circuit production, logic type",kg,Input,8.0262e-05,0.040131,0.080262,8.0262e-05,mass-based,
20,1,15,AUTO,Electromechanical,Connectors,"J1,J3",,1-770166-0,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00156,0.78,1.56,0.00156,mass-based,
21,1,15,AUTO,Electromechanical,Connectors,J2,,640900-1,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00319,3.19,3.19,0.00319,mass-based,
22,1,15,AUTO,Electromechanical,Connectors,J4,,N3429-6302RB,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.0201603712,20.160371,20.160371,0.0201603712,mass-based,
23,1,15,AUTO,Electromechanical,Connectors,"J5,J6",,N3428-6302RB,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.0364599008,18.22995,36.459901,0.0364599008,mass-based,
2,2,2,MLCC,Passives,Capacitors,"C1, C4, C8, C12,C15, C16, C23 > C26,C36, C37, C41, C43, C44",1206,CC1206_100NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.00084864,0.056576,0.84864,0.00084864,mass-based,
3,2,2,MLCC,Passives,Capacitors,"C2,C14",1206,CC1206_1UF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
4,2,2,MLCC,Passives,Capacitors,"C3, C6, C7, C10, C13,C17, C18, C21, C22,C33 > C35, C38 > C40,C42, C45",1206,CC1206_1NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000961792,0.056576,0.961792,0.000961792,mass-based,
5,2,2,MLCC,Passives,Capacitors,C5,1206,CC1206_10NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,5.6576e-05,0.056576,0.056576,5.6576e-05,mass-based,
6,2,2,MLCC,Passives,Capacitors,"C9, C11, C19, C20,C31, C32",1206,CC1206_100PF_50V_5%_NP0,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000339456,0.056576,0.339456,0.000339456,mass-based,
7,3,3,Tantalum,Passives,Capacitors,C27 > C30,E,CTE7343-43_10UF_35V_10%_LESR0200,EcoInvent,,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.002831378,0.707844,2.831378,0.002831378,mass-based,
8,4,4,TVS,Discrete Semiconductors,Small signal,"D1, D2, D15",DO-214AA,SMBJ24A,EcoInvent,0.08-0.1,"diode production, glass-, for surface-mounting",kg,Input,0.000308811156,0.102937,0.308811,0.000308811156,mass-based,
9,5,5,Dual,Discrete Semiconductors,Small signal,"D3, D4, D7 > D14",SOT23-3,BAV199,EcoInvent,,"diode production, glass-, for surface-mounting",kg,Input,8.2125e-05,0.008212,0.082125,8.2125e-05,mass-based,
10,6,6,Zener Diodes,Discrete Semiconductors,Small signal,D5,SOD-80C,BZV55-B10,EcoInvent,0.017,"diode production, glass-, for surface-mounting",kg,Input,1.874e-05,0.01874,0.01874,1.874e-05,mass-based,
11,7,7,Rectifier,Discrete Semiconductors,Small signal,D6,DO-214AC,ES1D,EcoInvent,,"diode production, glass-, for surface-mounting",kg,Input,0.00012,0.12,0.12,0.00012,mass-based,
15,8,11,Interface,IC,Digital,IC1,SOIC16,AMC3330DWE,EcoInvent,0.2-0.25,"integrated circuit production, logic type",kg,Input,0.0001853125,0.185313,0.185313,0.0001853125,mass-based,
