Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.02475,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 1,EDA-05281-V1,4Q Output Power Card [25A 100V] Printed Circuit Board (Bare),1,0.02475,YES,225,110,,,,,,,EcoInvent,Input,,Bare board,1,1,1,AREA_LW_MM_TO_M2,,,,,
"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",,Electromechanical,Connectors,kg,kg,0.016,"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",AUTO,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,0.004,YES,,,,,,,,,EcoInvent,Input,,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk",2,1,2,DATASHEET_QTY_KG,,4.0,,MISSING,
"J1,J2",,Electromechanical,Connectors,kg,kg,0.00156,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connector",2,0.00078,YES,,,,,,,,,EcoInvent,Input,,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",10,1,2,DATASHEET_QTY_KG,,0.78,,MISSING,
J3,,Electromechanical,Connectors,kg,kg,0.009047160352,"electric connector production, peripheral component interconnect buss",AUTO,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,0.009047160352,NO,40.74,8.6,17.4,,1.3,1.34,1,0,EcoInvent,Input,,"Best available proxy for a PCB‑mounted pin header; PCI connector is a pin‑based PCB connector, though not identical",11,1,2,CALCULATED,6.0963336,9.04716,1.32,MIN_MAX_AVG,
R1-R4,,Passives,Resistors,kg,kg,0.00044502,"resistor, metal film type, through-hole mounting",AUTO,Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,4,0.000111255,NO,,,,0.03093,3,4,0.003,0,EcoInvent,Input,,"Volume calculated from area and density, THT",12,1,7,CALCULATED,0.03093,0.111255,3.5,MIN_MAX_AVG,
for Misc1,,Hardware,Mounting hardware,kg,kg,0.000234,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",AUTO,BOSSARD,BN628 Art.1241397,"M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2",2,0.000117,YES,,,,,,,,,EcoInvent,Input,,IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,15,1,10,DATASHEET_QTY_KG,,0.117,,MISSING,
J3 screws,,Hardware,Mounting hardware,kg,kg,0.00126385,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",AUTO,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,0.000631925,NO,,,,0.0805,7.8,7.9,0,0,EcoInvent,Input,,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,16,1,10,CALCULATED,0.0805,0.631925,7.85,MIN_MAX_AVG,
for Misc1,,Hardware,Mounting hardware,kg,kg,8e-05,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",AUTO,BOSSARD,BN5687 Art.3061582 ,"M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2",2,4e-05,YES,,,,,,,,,EcoInvent,Input,,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,17,1,10,DATASHEET_QTY_KG,,0.04,,MISSING,
for Misc1,,Hardware,Mounting hardware,kg,kg,7e-05,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",AUTO,BOSSARD,BN670 Art.1253131,"Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV",2,3.5e-05,YES,,,,,,,,,EcoInvent,Input,,iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL,18,1,10,DATASHEET_QTY_KG,,0.035,,MISSING,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.02475,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.02475,YES,225,110,,,,,,,EcoInvent,Input,,,19,1,11,AREA_LW_MM_TO_M2,,,,,
