Designators,Manufacturer,Part_Number,Description,L (mm),W (mm),H (mm),Volume (cm3),Density (g/cm3),Mass (g),Mass Source,Component Type
PCB,MEXICO - Inverter Power Card (Bare PCB),EDA-05137-V1,"Panel of 2, 160x105 mm",18,5,11,0.99,1.2,1.188,CALCULATED,PCB
"IGBT_A1, A2, B1, B2",Infineon,IKW25N120H3,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,15.9,5,21.2,1.6853999999999998,1.2,2.0225,CALCULATED,IGBT
"IC1, IC2",Infineon,2ED3141MC12L,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,10.3,7.5,2.35,0.1815375,1.2,0.375,EXISTING,CAPACITOR
IC3–IC6,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise
(max) 100mVpk-pk,DC/DC Medical Converter",,,,,6.5,,CALCULATED,CAPACITOR
REG1,STMicroelectronics,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,10.2,4.5,9.2,0.42228,1.2,0.85,EXISTING,RESISTOR
IC7,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",6.3,4.4,2,0.05544,1.2,0.11,EXISTING,CAPACITOR
IC8,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",10,5.8,1.75,0.1015,1.2,0.225,EXISTING,CAPACITOR
F1,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,3.21,2.57,0.72,0.005939783999999998,1.2,0.009,EXISTING,OTHER
D1–D4,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,,,,0.00639,2.2,0.017,EXISTING,DIODE
"D5, D6",Nexperia,BZV55-B10,10V 500mW Voltage Regulator Diode,,,,0.00639,2.2,0.017,EXISTING,DIODE
D7,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,4.75,2.45,3.95,0.045968125000000006,1.2,0.09,EXISTING,DIODE
D8–D11,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,2.9,1.3,1,0.00377,1.2,0.01,EXISTING,DIODE
LD1,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,,,,0,4.0,,CALCULATED,INDUCTOR
T1,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,2.8,1.2,2.2,0.007392,1.2,0.01,EXISTING,TRANSISTOR
T2–T7,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",2.9,1.1,2.2,0.007018000000000001,1.2,0.01,EXISTING,TRANSISTOR
"C1, C2",WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",18,6,12.5,1.35,1.3,1.755,CALCULATED,FILM_CAP
C9–C12,Generic,CC1206_1NF_50V_10%_X7R,"1 nF, ±10%, 50V, X7R, 1206",3.2,1.6,1.7,0.008704,6.0,0.0575,EXISTING,CAPACITOR
C15,WIMA,MKP4J043307F00MSSD,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",19,32,41.5,25.232,1.3,32.8016,CALCULATED,FILM_CAP
"C16, C17",WIMA,MKP4O141007E00MSSD,"1 µF, ±20%, 1000VDC/400VAC, MKP4",17,29,41.5,20.4595,1.3,26.5974,CALCULATED,FILM_CAP
"C20, C21",Generic,CC1206_220PF_50V_5%_NP0,"220 pF, ±5%, 50V, C0G/NP0, 1206",3.2,1.6,1.7,0.008704,6.0,0.0575,EXISTING,CAPACITOR
C22–C25,Generic,CTE7343-43_10UF_35V_10%_LESR0200E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",7.3,4.3,4.1,0.12869899999999998,5.0,0.7,EXISTING,CAPACITOR
"C26, C44",WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",18,5,11,0.99,1.3,1.287,CALCULATED,CAPACITOR
"C3, C4",WIMA,FKP1U004704C00KSSD,±10% 2000VDC/700VAC Metallized Polypropylene Capacitor For Pulse Application (FKP 1),18,6,12.5,1.35,1.3,1.755,CALCULATED,FILM_CAP
C5–C8,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),13,5,11,0.715,1.3,0.9295,CALCULATED,CAPACITOR
"C13, C14",WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),20,39.5,41.5,32.785,1.3,42.6205,CALCULATED,FILM_CAP
C18,WIMA,MKP4F044706F00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),15,26,31.5,12.285,1.3,15.9705,CALCULATED,FILM_CAP
C19,TDK,B32653A6224J000,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),7,16,26.5,2.968,1.3,3.8584,CALCULATED,FILM_CAP
"C27–C43, C45–C54",Generic,CC1206_100NF_50V_10%_X7R,"100 nF, ±10%, 50V, X7R, 1206",3.2,1.6,1.7,0.008704,6.0,0.0575,EXISTING,CAPACITOR
"R1–R4, R31, R35, R47, R48, R60",Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
"R5–R9, R41, R44, R53, R56–R59",Generic,R1206_47K_1%_0.25W_100PPM,"47 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
"R10, R11, R15–R30",Generic,R1206_20R_1%_0.25W_100PPM,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
"R12, R49–R52",Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
"R13, R14, R32, R36–R40, R42, R43",Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
R33,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
"R34, R45, R46, R54, R55",Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",3.1,1.55,0.55,0.0026427500000000006,3.0,0.105,EXISTING,RESISTOR
J1,Wieland,25.161.0353.0,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",,,,0,1.4,,CALCULATED,PCB
J2,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,20.3,13,8,2.1112,1.12,2.3645,CALCULATED,OTHER
J3,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",,,,0,1.5,,CALCULATED,OTHER
PCB Terminal Test Pins,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),,,,0,1.4,,CALCULATED,PCB
TR1,CERN,HCR6BFW,HF Current transformer,,,,0,7.5,,CALCULATED,RESISTOR
J3 screws,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",,,,0,6.5,,CALCULATED,CAPACITOR
