Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
3M,3341-5,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, inverter_power_card",,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",Hardware,Mounting hardware,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + market for metal working, average for metal product manufacturing",kg,Input
3M,N3428-6302RB,"4Q_output_control_card, inverter_power_card",,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,,NO,44.83,8.6,27.2,,1.3,1.5,3.5,,EcoInvent,"electric connector production, wire clamp",kg,Input
3M,N3429-6302RB,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card",,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input
3M,N3793-6302RB,fan_supervision_card,,"10 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",Electromechanical,Connectors,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
BOSSARD,BN5687 Art.3061582,4Q_output_power_card,,"M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2",Hardware,Mounting hardware,kg,0.00004,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOSSARD,BN628 Art.1241397,4Q_output_power_card,,"M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2",Hardware,Mounting hardware,kg,0.000117,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOSSARD,BN670 Art.1253131,4Q_output_power_card,,"Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV",Hardware,Mounting hardware,kg,0.000035,YES,,,,,,,,,EcoInvent,"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,Input
BOURNS,MF-SM030,fan_supervision_card,,PTC Resettable Fuse,Passives,Protection,kg,0.000474,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
BUSSMANN,1A1907-06-R,4Q_output_control_card,,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",Electromechanical,Fuse holder,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
CAEN ELS,CT-26,4Q_output_power_card,,"DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series",Modules,Sensors,kg,0.3,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
CERN,EDA-02872-V1-3,fuse_card,,"2 Circuits In-Line - Universal MATE-N-LOK with Central Wire Pin, 7 Poles, VDE  Metalok Bantam Circular Male Connector, Mounted On 15mm M3 Spacer",Electromechanical,Connectors,kg,0.0526,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
CERN,HCR6BFW,inverter_power_card,,HF Current transformer,Magnetics,Current sensing,kg,0.0095,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input
CERN,HCRAPQU001-0,filter_card,,HF Common Mode Inductor,Magnetics,Inductors,KG,0.0827,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input
DALLAS MAXIM,DS18B20,4Q_output_control_card,TO-92,Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C),IC,Analog,kg,0.000214,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input
EPCOS / TDK,B72220S0511K101 or S20K510,contactor_card,,±10% 510VAC 1W SIOV Metal Oxide Varistor,Passives,Resistors,kg,0.005948,YES,,,,,,,,,EcoInvent,"resistor production, wirewound, through-hole mounting",kg,Input
FAIRCHILD SEMICONDUCTOR,ES1D,4Q_output_control_card,DO-214AC,200V 1A Fast Rectifier,Discrete Semiconductors,Small signal,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
FAIRCHILD SEMICONDUCTOR,LM7815CT,4Q_output_control_card,TO-220,"""3-Terminal 15V 1A Positive Voltage Regulatorr""",IC,Analog,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input
FAIRCHILD SEMICONDUCTOR,LM7915CT,4Q_output_control_card,TO-220,3-Terminal 15V 1A Negative Voltage Regulator,IC,Analog,kg,,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,EcoInvent,"integrated circuit production, logic type",kg,Input
FISCHER ELEKTRONIK,FFK 242 SA 220 O,4Q_power_card,,TO-220 Heat Sink Rth: 26°C/W,Hardware,Thermal Management,kg,0.001398,YES,,,,,,,,,EcoInvent,"market for aluminium, primary + metal working, average for aluminium product manufacturing",kg,Input
FISCHER ELEKTRONIK,FK 242 SA 220 O,4Q_output_control_card,,TO-220 Heat Sink Rth: 26°C/W,Hardware,Thermal Management,kg,0.001398,YES,,,,,,,,,EcoInvent,"market for aluminium, wrought alloy+ metal working, average for aluminium product manufacturing",kg,Input
FISCHER ELEKTRONIK,FK 245 MI 247 O,contactor_card,,"TO-247 Heat Sink Rth: 20.2°C/W, Vertical Mount",Hardware,Thermal Management,kg,0.005,YES,,,,,,,,,EcoInvent,"market for copper, cathode + metal working, average for copper product manufacturing",kg,Input
GENERIC,CC1206_100NF_200V_10%_X7R,4Q_power_card,1206,±10% 200V X7R SMD Ceramic Chip Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100NF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100PF_50V_5%_NP0,"4Q_output_control_card, contactor_card",1206,±5% 50V C0G/NP0 SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_10NF_50V_10%_X7R,"4Q_output_control_card, contactor_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
