Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error,Subsystem
PCB,,PCB,,m2,m2,0.017,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 2,EDA-04976-V1,,1,0.017,YES,170,100,,,,,,,EcoInvent,Input,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,AREA_LW_MM_TO_M2,,,,,,contactor_card
PCB Terminal Test Pins,,Passives,Test PIN,kg,kg,0.00056,"electronic component, passive, unspecified",AUTO,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),7,8e-05,YES,,,,,,,,,EcoInvent,Input,,Chossen passive generic because it includes thins kind of components and there is not another alternative.,2,1,2,DATASHEET_QTY_KG,,0.08,,MISSING,,contactor_card
F1,,Passives,Protection,kg,kg,1.0018708e-05,"electronic component, passive, unspecified",AUTO,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,1.0018708e-05,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,Input,,,12,1,8,CALCULATED,0.005939784,0.010019,1.35,MIN_MAX_AVG,,contactor_card
IC1,DIP6 SMD,Modules,Hybrid Relays,kg,kg,0.000427,"electronic component production, active, unspecified",AUTO,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,0.000427,YES,,,,,,,,,EcoInvent,Input,0.1-0.12,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component",13,1,9,DATASHEET_QTY_KG,,0.427,,MISSING,,contactor_card
J1,,Electromechanical,Connectors,kg,kg,0.00319,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00319,YES,,,,,,,,,EcoInvent,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,14,1,10,DATASHEET_QTY_KG,,3.19,,MISSING,,contactor_card
"J2,J4",,Electromechanical,Connectors,kg,kg,0.003966,"electric connector production, peripheral type buss",AUTO,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,2,0.001983,YES,,,,,,,,,EcoInvent,Input,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/,15,1,10,DATASHEET_QTY_KG,,1.983,,MISSING,,contactor_card
J3,,Electromechanical,Connectors,kg,kg,0.00331,"electric connector production, wire clamp",AUTO,OSRAM,N2514-6003RB,14 Contacts Straight .100'' x .100'' Low Profile Four-Wall Header (Solder Tail 3.94mm) 2500 Series,1,0.00331,YES,,,,,,,,,EcoInvent,Input,,mass data: https://www.tme.com/ux/en-us/details/n2514-6003-rb/idc-connectors/3m/7100243253/,16,1,10,DATASHEET_QTY_KG,,3.31,,MISSING,,contactor_card
"R1-R6,R15-R19,R36-R46",1206,Passives,Resistors,kg,kg,0.000282832,"resistor production, surface-mounted",AUTO,GENERIC,R1206_270K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,22,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,18,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
"R7-R14, R20-R35,R47 > R62, R65 > R72,R76 > R83, R87 > R102, R106 > R121, R123 > R130, R135 > R142, R159 > R166, R179 > R186, R199 > R206, R223 > R230, R245 > R252",1206,Passives,Resistors,kg,kg,0.001851264,"resistor production, surface-mounted",AUTO,GENERIC,R1206_4K3_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,144,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,19,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
"R63,R75",1206,Passives,Resistors,kg,kg,2.5712e-05,"resistor production, surface-mounted",AUTO,GENERIC,R1206_30K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,2,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,20,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
"R64, R74, R85, R86, R103,R221, R222",1206,Passives,Resistors,kg,kg,8.9992e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",7,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,21,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
