Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Database_component_title,Comments,Subsystem
PCB,,PCB,,,Panel of 1,EDA-05281-V1,4Q Output Power Card [25A 100V] Printed Circuit Board (Bare),1,m2,,YES,225,110,,,,,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,Bare board,4Q_output_power_card
"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",,Electromechanical,Connectors,,WURTH,7460305,M5 Bush With Two Rows Pin-Plate,4,kg,0.004,YES,,,,,,,,,EcoInvent,"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input,,"Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk",4Q_output_power_card
C1-C6,,Passives,Capacitors,Paper,KEMET,P272HE102M300A or PME271YA4100MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,13.5,3.9,7.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,It is the most similar to Impregnated Paper,4Q_output_power_card
"C7, C8, C20, C21",,Passives,Capacitors,Paper,KEMET,P272QE103M300A or PME271YB5100MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,18.5,5.2,10.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,It is the most similar to Impregnated Paper,4Q_output_power_card
"C9, C10",,Passives,Capacitors,Paper,KEMET,P272SJ473M300A or PME271YD5470MR30,"±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2",6,kg,,NO,27,8,17,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,It is the most similar to Impregnated Paper,4Q_output_power_card
"C11, C12, C16, C17",,Passives,Capacitors,Film,WIMA,MKP4F052207H00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),4,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,4Q_output_power_card
C13,,Passives,Capacitors,Film,WIMA,MKX2AW41006D00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),1,kg,,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,4Q_output_power_card
"D1, D2",DO-35,Discrete Semiconductors,Small signal,Zener,VISHAY GENERAL SEMICONDUCTOR,BZX55C12,12V 500mW Voltage Regulator Diode,2,kg,0.000125,YES,,,,,,,,,EcoInvent,"diode production, glass-, for through-hole mounting",kg,Input,,", it is THT",4Q_output_power_card
"DCCTA, DCCTB",,Module,Sensors,Current transducer,CAEN ELS,CT-26,"DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series",2,kg,0.3,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,big aproximation: Contains a precision current transformer plus active electronics,4Q_output_power_card
"J1,J2",,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connector",2,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",4Q_output_power_card
