Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-04976-V1,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.017,5.519481,5.519481,0.005519480519,area-based,
2,1,2,AUTO,Passives,Test PIN,PCB Terminal Test Pins,,20-2136,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.00056,0.08,0.56,0.00056,mass-based,
12,1,8,AUTO,Passives,Protection,F1,,microSMD005F,EcoInvent,"electronic component, passive, unspecified",kg,Input,1.0018708e-05,0.010019,0.010019,1.0018708e-05,mass-based,
13,1,9,AUTO,Modules,Hybrid Relays,IC1,DIP6 SMD,AQV210EHA,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.000427,0.427,0.427,0.000427,mass-based,
14,1,10,AUTO,Electromechanical,Connectors,J1,,640900-1,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00319,3.19,3.19,0.00319,mass-based,
15,1,10,AUTO,Electromechanical,Connectors,"J2,J4",,350789-1,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.003966,1.983,3.966,0.003966,mass-based,
16,1,10,AUTO,Electromechanical,Connectors,J3,,N2514-6003RB,EcoInvent,"electric connector production, wire clamp",kg,Input,0.00331,3.31,3.31,0.00331,mass-based,
18,1,12,AUTO,Passives,Resistors,"R1-R6,R15-R19,R36-R46",1206,R1206_270K_0.1%_0.25W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000282832,0.012856,0.282832,0.000282832,mass-based,
19,1,12,AUTO,Passives,Resistors,"R7-R14, R20-R35,R47 > R62, R65 > R72,R76 > R83, R87 > R102, R106 > R121, R123 > R130, R135 > R142, R159 > R166, R179 > R186, R199 > R206, R223 > R230, R245 > R252",1206,R1206_4K3_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.001851264,0.012856,1.851264,0.001851264,mass-based,
20,1,12,AUTO,Passives,Resistors,"R63,R75",1206,R1206_30K_0.1%_0.25W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.5712e-05,0.012856,0.025712,2.5712e-05,mass-based,
21,1,12,AUTO,Passives,Resistors,"R64, R74, R85, R86, R103,R221, R222",1206,R1206_1K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.9992e-05,0.012856,0.089992,8.9992e-05,mass-based,
22,1,12,AUTO,Passives,Resistors,"R73, R213, R214,R237, R238",1206,R1206_100K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,6.428e-05,0.012856,0.06428,6.428e-05,mass-based,
23,1,12,AUTO,Passives,Resistors,"R84, R122, R131 > R134, R149, R150, R157, R158",1206,R1206_10K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.00012856,0.012856,0.12856,0.00012856,mass-based,
24,1,12,AUTO,Passives,Resistors,R104,1206,R1206_2K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.2856e-05,0.012856,0.012856,1.2856e-05,mass-based,
25,1,12,AUTO,Passives,Resistors,R105,1206,R1206_100R_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.2856e-05,0.012856,0.012856,1.2856e-05,mass-based,
26,1,12,AUTO,Passives,Resistors,"R143 > R148, R151 > R156,R167 > R178, R187 > R198,R207 > R212, R215 > R220, R231 > R236, R239 > R244, R253 > R258",1206,R1206_33K_1%_0.25W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000848496,0.012856,0.848496,0.000848496,mass-based,
27,1,12,AUTO,Passives,Resistors,RV1,,B72220S0511K101 or S20K510,EcoInvent,"resistor production, wirewound, through-hole mounting",kg,Input,0.005948,5.948,5.948,0.005948,mass-based,
30,1,15,AUTO,Electromechanicsd,Relays,"RL4, RL5",,G2RL-24-DC24,EcoInvent,"transformer production, low voltage use",kg,Input,0.07,35.0,70.0,0.07,mass-based,
32,1,17,AUTO,Assembly Processes,SMD,SMD_PROCESS,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,0.017,,,,area-based,
33,1,18,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,0.017,,,,area-based,
3,2,3,MLCC,Passives,Capacitors,"C1, C3",1206,CC1206_100PF_50V_5%_NP0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
4,2,3,MLCC,Passives,Capacitors,"C2, C6, C7",1206,CC1206_1NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000169728,0.056576,0.169728,0.000169728,mass-based,
5,2,3,MLCC,Passives,Capacitors,"C4, C5",1206,CC1206_100NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
6,2,3,MLCC,Passives,Capacitors,"C8, C9",1206,CC1206_10NF_50V_10%_X7R,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
7,3,4,Dual,Discrete Semiconductors,Small signal,"D1, D3, D12",SOT23-3,BAV199,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,2.46375e-05,0.008212,0.024637,2.46375e-05,mass-based,
8,4,5,Zener,Discrete Semiconductors,Small signal,"D2, D4-D6, D9, D10, D13, D14",SOD-80C,BZV55-B10,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.00014992,0.01874,0.14992,0.00014992,mass-based,
9,5,6,TVS,Discrete Semiconductors,Small signal,D7,DO-214AA,SMBJ24A,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000102937052,0.102937,0.102937,0.000102937052,mass-based,
10,5,6,TVS,Discrete Semiconductors,Small signal,"D8, D11",DO-214AA,SMBJ48CA,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000205874104,0.102937,0.205874,0.000205874104,mass-based,
11,6,7,Rectifier diode,Discrete Semiconductors,Power,D15-D20,TO-247-2,VS-45EPS16L-M3,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,0.03252,5.42,32.52,0.03252,mass-based,
17,7,11,LED,Discrete Semiconductors,Optoelectronics,LD1,,LY T676-R1S2-26,EcoInvent,light emitting diode production,kg,Input,0.035,35.0,35.0,0.035,mass-based,
28,8,13,Bipolar Transistor,Discrete Semiconductors,Small signal,T1,SOT23-3,MMBT3906L,EcoInvent,"transistor production, surface-mounted",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
29,9,14,MOSFET,Discrete Semiconductors,Power,"T2,T5",DPAK,STD10NF10T4,EcoInvent,"transistor production, surface-mounted",kg,Input,0.00066529,0.332645,0.66529,0.00066529,mass-based,
31,10,16,Heatsink,Hardware,Thermal Management,HS1-HS6,,FK 245 MI 247 O,EcoInvent,"metal working, average for copper product manufacturing",kg,Input,0.03,5.0,30.0,0.03,mass-based,
31,10,16,Heatsink,Hardware,Thermal Management,HS1-HS6,,FK 245 MI 247 O,EcoInvent,"market for copper, cathode",kg,previous input,0.03,5.0,30.0,0.03,mass-based,
