Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.017,"printed wiring board production, for power supply unit, desktop computer, Pb free",AUTO,Panel of 2,EDA-04976-V1,,1,0.017,YES,170,100,,,,,,,EcoInvent,Input,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,AREA_LW_MM_TO_M2,,,,,
"C1, C3",1206,Passives,Capacitors (mounted),kg,kg,0.000113152,"capacitor production, for surface-mounting",AUTO,GENERIC,CC1206_100PF_50V_5%_NP0,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",2,1,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C2, C6, C7",1206,Passives,Capacitors (mounted),kg,kg,0.000169728,"capacitor production, for surface-mounting",AUTO,GENERIC,CC1206_1NF_50V_10%_X7R,,3,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",3,1,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C4, C5",1206,Passives,Capacitors (mounted),kg,kg,0.000113152,"capacitor production, for surface-mounting",AUTO,GENERIC,CC1206_100NF_50V_10%_X7R,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",4,1,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C8, C9",1206,Passives,Capacitors (mounted),kg,kg,0.000113152,"capacitor production, for surface-mounting",AUTO,GENERIC,CC1206_10NF_50V_10%_X7R,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",5,1,2,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"D1, D3, D12",SOT23-3,Diodes and optoelectronics,,kg,kg,2.46375e-05,"diode production, glass-, for surface-mounting",AUTO,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,3,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,Input,0.008-0.012,,6,1,3,CALCULATED,0.00377,0.008212,1.25,MIN_MAX_AVG,
"D2, D4-D6, D9, D10, D13, D14",SOD-80C,Diodes and optoelectronics,,kg,kg,0.00014992,"diode production, glass-, for surface-mounting",AUTO,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,8,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,Input,0.017,,7,1,3,CALCULATED,0.00744,0.01874,2.25,MIN_MAX_AVG,
"D8, D11",DO-214AA,Diodes and optoelectronics,,kg,kg,0.000205874104,"diode production, glass-, for surface-mounting",AUTO,LITTELFUSE,SMBJ48CA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,2,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,0.08-0.1,,9,1,3,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,
D15-D20,TO-247-2,Diodes and optoelectronics,,kg,kg,0.03252,,AUTO,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,0.00542,YES,,,,,,,,,EcoInvent,Input,,,10,1,3,DATASHEET_QTY_KG,,5.42,,MISSING,
D7,DO-214AA,Diodes and optoelectronics,TVS Diodes,kg,kg,0.000102937052,"diode production, glass-, for surface-mounting",AUTO,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,Input,0.08-0.1,,8,1,4,CALCULATED,0.04321392,0.102937,1.225,MIN_MAX_AVG,
