Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Ecoinvent_amount_override,Database_component_title,Comments,Notes
PCB,,PCB,,,Panel of 2,EDA-05137-V1,"Panel of 2, 160x105 mm",1,m2,,YES,160,105,,,,,,,EcoInvent ,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",
"IGBT_A1, A2, B1, B2",TO-247,Power module,IGBT,,Infineon,IKW25N120H3,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,4,kg,0.0031067499999999997,NO,20.95,15.74,5.31,1.6853999999999998,1.2,1.3,1,,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,,Infineon IKW40N120H3,"This dataset is IGBT-specific, based on direct inspection of a commercial device, ensuring high technological representativeness. The IGBT analyzed (1200V, 50A) is used in power applications (electric vehicles, inverters), so the technology matches perfectly. ",
"IC1, IC2",,Power module,Gate driver,,Infineon,2ED3141MC12L,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,2,kg,0.000376921875,NO,10.3,7.5,2.35,0.1815375,1.2,1.3,0.15,,EcoInvent,"integrated circuit production, logic type",kg,Input,,0.35-0.4,"The Dual‑Channel Isolated Gate Driver IC is a mixed‑signal CMOS/BiCMOS integrated circuit. As no specific LCI exists for gate‑driver or mixed‑signal ICs,this dataset is selected.",
IC3–IC6,,Auxiliary power supply,DC/DC Converters,,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise
(max) 100mVpk-pk,DC/DC Medical Converter",4,kg,0.0048,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,,"It is intentionally designed as a ""rough proxy"" for active components when no better data exists.  Generic active component dataset used with mass scaling. This introduces uncertainty but is the best available option. The automotive converter dataset was rejected due to extreme scale difference. ",
REG1,D2PAK,Auxiliary power supply,Voltage regulator,,STMicroelectronics,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,kg,0.0008078499999999999,NO,10.29,9.65,4.83,0.42228,1.2,1.3,0.28,,EcoInvent,"integrated circuit production, logic type",kg,Input,,0.8-0.9,"This means its production process aligns with IC manufacturing. The dataset includes packaging, and that's what matters for the bill of materials and assembly impacts.",
IC7,DIP6 SMD,Control and signal management,ICs,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,9.93e-05,NO,7.12,7.62,3.65,0.05544,1.2,1.3,0.03,0,EcoInvent,"electronic component production, active, unspecified",kg,Input,,0.1-0.12,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component. ",
IC8,SOIC16,Control and signal management,ICs,,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,kg,0.00022687500000000003,NO,10,3.9,1.75,0.1015,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,,0.2-0.25," logic IC, the packaging technology (die attach, wire bonding) is relevant. The function matches.",
F1,,Control and signal management,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,kg,1.0018708399999998e-05,NO,3.21,2.57,0.72,0.005939783999999998,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,0.008-0.01,"There is a big stimation, the other alternative is more described but it dit not the same technology.",
D1–D4,SOD-80C,Diodes and optoelectronics,Zener Diodes,,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,kg,1.63775e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),
"D5, D6",SOD-80C,Diodes and optoelectronics,Zener Diodes,,Nexperia,BZV55-B10,10V 500mW Voltage Regulator Diode,2,kg,1.63775e-05,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),
D7,DO-214AA,Diodes and optoelectronics,TVS Diodes,,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,0.00010631095312500003,NO,4.57,3.94,2.4,0.045968125000000006,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,0.08-0.1,"Although the DO-214AA package is plastic and larger, there is no specific power TVS diode dataset in ecoinvent. The glass SMD diode process is the closest available.",
D8–D11,SOT23-3,Diodes and optoelectronics,TVS Diodes,,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,kg,8.618250000000002e-06,NO,2.9,1.3,1,0.00377,1.2,1.25,0.004,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,0.008-0.012,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),
LD1,,Diodes and optoelectronics,Optoelectronics,,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,kg,0.035,YES,,,,0,,,,,EcoInvent,light emitting diode production,kg,Input,,,"Only LED‑specific option in your list. However, important limitations from the description: Represents a 5mm through‑hole LED (your LD1 is SMD). Default weight assumption: 0.35 g per LED (much larger than your 0.059 g SMD). Technology based on : diode production, glass-, for through-hole mounting",
T1,SOT23-3,Small signal transistors,Bipolar Transistors,,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,1,kg,5.1125e-06,NO,2.9,1.3,1,0.00377,1.2,1.3,0.003,0,EcoInvent,"transistor production, surface-mounted",kg,Input,,0.008-0.012,Specific for surface‑mounted transistors; matches SOT‑23 package. ,
T2–T7,SOT23-3,Small signal transistors,MOSFET,,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",6,kg,5.1125e-06,NO,2.9,1.3,1,0.00377,1.2,1.3,0.003,0,EcoInvent,"market for transistor, surface-mounted",kg,Input,,0.008-0.012,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.,
"C1, C2",,Passives,Capacitors (mounted),,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,kg,0.0018225000000000003,NO,18,6,12.5,1.35,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
C9–C12,1206,Passives,Capacitors (mounted),,Generic,CC1206_1NF_50V_10%_X7R,"1 nF, ±10%, 50V, X7R, 1206",4,kg,5.6576e-05,NO,3.2,1.6,1.7,0.008704,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",
C15,,Passives,Capacitors (mounted),,WIMA,MKP4J043307F00MSSD,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",1,kg,0.0340632,NO,19,32,41.5,25.232,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
"C16, C17",,Passives,Capacitors (mounted),,WIMA,MKP4O141007E00MSSD,"1 µF, ±20%, 1000VDC/400VAC, MKP4",2,kg,0.027620325,NO,17,29,41.5,20.4595,1.3,1.4,0,,EcoInvent ,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
"C20, C21",1206,Passives,Capacitors (mounted),,Generic,CC1206_220PF_50V_5%_NP0,"220 pF, ±5%, 50V, C0G/NP0, 1206",2,kg,5.6576e-05,NO,3.2,1.6,1.7,0.008704,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",
C22–C25,E,Passives,Capacitors (mounted),,Generic,CTE7343-43_10UF_35V_10%_LESR0200E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",4,kg,0.0007078444999999999,NO,7.3,4.3,4.1,0.12869899999999998,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,,0.7,"Tantalum capacitors are electrolytic. The small size matches SMD tantalum chips. Not perfect, but the only electrolytic option available.",
"C26, C44",,Passives,Capacitors (mounted),,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",2,kg,0.0013365,NO,18,5,11,0.99,1.3,1.4,0,0,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
"C3, C4",,Passives,Capacitors (unmounted),,WIMA,FKP1U004704C00KSSD,±10% 2000VDC/700VAC Metallized Polypropylene Capacitor For Pulse Application (FKP 1),2,kg,0.0018225000000000003,NO,18,6,12.5,1.35,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
C5–C8,,Passives,Capacitors (unmounted),,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),4,kg,0.0009652500000000001,NO,13,5,11,0.715,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,,
