Flow,Unit,Amount,Direction
"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,0.017,Input
"electronic component, passive, unspecified",kg,0.000570018708,Input
"capacitor production, for surface-mounting",kg,0.000509184,Input
"diode production, glass-, for surface-mounting",kg,0.000483368656,Input
"transistor production, wired, big size, through-hole mounting",kg,0.03252,Input
"transformer production, low voltage use",kg,0.07,Input
"electronic component production, active, unspecified",kg,0.000427,Input
"electric connector production, wire clamp",kg,0.0065,Input
"electric connector production, peripheral type buss",kg,0.003966,Input
light emitting diode production,kg,0.035,Input
"resistor production, surface-mounted",kg,0.003316848,Input
"resistor production, wirewound, through-hole mounting",kg,0.005948,Input
"transistor production, surface-mounted",kg,0.0006640909,Input
