"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","mass_space_relation_m2/kg","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Comments",
"PCB",,"PCB",,,"Panel of 4 PCBs ","EDA-05283-V1","Q Power Card [25A 100V] Printed Circuit Board (Bare)","1","m2",,"YES","34","110",,,,,,"3.08","EcoInvent","printed wiring board production, for through-hole mounting, Pb free surface","m2","Input","Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",
"C1, C10",,Passives,Capacitors,Electrolytic,VISHAY BCCOMPONENTS,MAL213668101E3,±20% 63V Low ESR 0R190 Aluminum Electrolytic Capacitor ,2,kg,0.0019,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,"Mass from datasheet, electrolytic and height specified",
"C2 > C9",1206,Passives,Capacitors,Film,GENERIC,CC1206_100NF_50V_10%_X7R,,8,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors and termination (SMT) – exactly what MLCCs are.",
"C11, C12",1206,Passives,Capacitors,Film,GENERIC,CC1206_1NF_50V_10%_X7R,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,"SMD type capacitors and termination (SMT) – exactly what MLCCs are.",
"F1, F2",,Passives,Protection,,BOURNS,MF-SM030,PTC Resettable Fuse,2,kg,0.000474,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass info: https://www.tme.eu/bg/en/details/mf-sm030-2/smd-polymer-fuses/bourns/,
"J1,J2",,"Electromechanical","Connectors",,"WAGO ","236-402","16A 250VAC Grey 2 Way PCB Terminal Block, Pitch 5mm, CAGE CLAMP® Connection,Wire Size Max: 2.5mm² ","2","kg","0.001902","YES",,,,,,,,,"EcoInvent","electric connector production, wire clamp","kg","Input",MASS INFO: https://www.wagoproducts.com/printed-circuit/series-236/wago-236-402/,
"J3",,"Electromechanical",Connectors,,3M,N3793-6302RB,"10 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,0.00405,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,MASS INFO: https://www.tme.eu/ps/en/details/n3793-6302rb/idc-connectors/3m/,
PB1 > PB3,,Electromechanical,Switches,Contact Block,SCHNEIDER,ZB6E2A,"NC THD Switch, Top Actuator, SCHNEIDER XB6 Modular Series",3,kg,0.004,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass from datasheet,
PB4 ,,Hardware,Mounting Hardware,,SCHNEIDER,ZB6Y011,"Body Fixing Collar for Electrical Block + Fixing Point with Fixing Screws, SCHNEIDER XB6 Modular Series ",1,kg,0.01,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass info: https://www.tme.eu/cn/zh/details/zb6y011/biao-zhun-pei-jian/schneider-electric/,
"R1-R4,R7-R18",1206,Passives,Resistors,Switch Mounting Collar,Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",16,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
"R5, R6",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",2,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,The dataset explicitly represents surface‑mounted resistors.
for J3s,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape the component."
PB5,,Electromechanical,Switches,Emergency Stop Pushbutton Head,SCHNEIDER,ZB6AS834,"Emergency Stop Pushbutton Head Trigger and Latching Turn Release,SCHNEIDER XB6 Modular Series ",1,kg,0.035,YES,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass info from datasheet
"SMD_PROCESS",,"Assembly Processes","SMD ",,,,"Assambly SMD components in the PCB","1","m2",,"YES","160","175",,,,,,,"EcoInvent","mounting, surface mount technology, Pb-free solder","m2","Input",,
"THT_PROCESS",,"Assembly Processes","THT",,,,"Assambly THT components in the PCB","1","m2",,"YES","160","175",,,,,,,"EcoInvent","mounting, through-hole technology, Pb-free solder","m2","Input",,

