Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.00374,0.0115192,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 4 PCBs ,EDA-05283-V1,Q Power Card [25A 100V] Printed Circuit Board (Bare),1,0.00374,YES,34,110,,,,,,3.08,EcoInvent,Input,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",1,1,1,M2_EQUIVALENT,,1.214286,,M2_RELATION,
"F1, F2",,Passives,Protection,kg,kg,0.000948,0.000948,"electronic component, passive, unspecified",AUTO,BOURNS,MF-SM030,PTC Resettable Fuse,2,0.000474,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.eu/bg/en/details/mf-sm030-2/smd-polymer-fuses/bourns/,5,1,4,DATASHEET_QTY_KG,,0.474,,MISSING,
"J1,J2",,Electromechanical,Connectors,kg,kg,0.003804,0.003804,"electric connector production, wire clamp",AUTO,WAGO ,236-402,"16A 250VAC Grey 2 Way PCB Terminal Block, Pitch 5mm, CAGE CLAMP® Connection,Wire Size Max: 2.5mm² ",2,0.001902,YES,,,,,,,,,EcoInvent,Input,MASS INFO: https://www.wagoproducts.com/printed-circuit/series-236/wago-236-402/,6,1,5,DATASHEET_QTY_KG,,1.902,,MISSING,
J3,,Electromechanical,Connectors,kg,kg,0.00405,0.00405,"electric connector production, wire clamp",AUTO,3M,N3793-6302RB,"10 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,0.00405,YES,,,,,,,,,EcoInvent,Input,MASS INFO: https://www.tme.eu/ps/en/details/n3793-6302rb/idc-connectors/3m/,7,1,5,DATASHEET_QTY_KG,,4.05,,MISSING,
SMD_PROCESS,,Assembly Processes,SMD ,m2,m2,0.028,,"mounting, surface mount technology, Pb-free solder",AUTO,,,Assambly SMD components in the PCB,1,0.028,YES,160,175,,,,,,,EcoInvent,Input,,8,1,6,AREA_LW_MM_TO_M2,,,,,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.028,,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.028,YES,160,175,,,,,,,EcoInvent,Input,,9,1,7,AREA_LW_MM_TO_M2,,,,,
PB1 > PB3,,Electromechanical,Switches,kg,kg,0.012,0.012,"electronic component, passive, unspecified",AUTO,SCHNEIDER,ZB6E2A,"NC THD Switch, Top Actuator, SCHNEIDER XB6 Modular Series",3,0.004,YES,,,,,,,,,EcoInvent,Input,Mass from datasheet,10,1,8,DATASHEET_QTY_KG,,4.0,,MISSING,
PB4 ,,Hardware,Mounting Hardware,kg,kg,0.004,0.004,"electronic component, passive, unspecified",AUTO,SCHNEIDER,ZB6Y011,"Body Fixing Collar for Electrical Block + Fixing Point with Fixing Screws, SCHNEIDER XB6 Modular Series ",1,0.004,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.eu/cn/zh/details/zb6y011/biao-zhun-pei-jian/schneider-electric/,11,1,9,DATASHEET_QTY_KG,,4.0,,MISSING,
"C1, C10",,Passives,Capacitors,kg,kg,0.0038,0.0038,"capacitor production, electrolyte type, < 2cm height",Electrolytic,VISHAY BCCOMPONENTS,MAL213668101E3,±20% 63V Low ESR 0R190 Aluminum Electrolytic Capacitor ,2,0.0019,YES,,,,,,,,,EcoInvent,Input,"Mass from datasheet, electrolytic and height specified",2,2,2,DATASHEET_QTY_KG,,1.9,,MISSING,
C2 > C9,1206,Passives,Capacitors,kg,kg,0.000452608,0.000452608,"capacitor production, for surface-mounting",Film,GENERIC,CC1206_100NF_50V_10%_X7R,,8,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,SMD type capacitors and termination (SMT) – exactly what MLCCs are.,3,3,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
"C11, C12",1206,Passives,Capacitors,kg,kg,0.000113152,0.000113152,"capacitor production, for surface-mounting",Film,GENERIC,CC1206_1NF_50V_10%_X7R,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,SMD type capacitors and termination (SMT) – exactly what MLCCs are.,4,3,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,
