Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-04977-V1,EcoInvent ,,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.017,,,,area-based,
6,1,4,AUTO,Passives,Test PIN,"HVDC_M, HVDV_P",,20-2136,EcoInvent ,,"electronic component, passive, unspecified",kg,Input,0.00016,0.08,0.16,0.00016,mass-based,
9,1,6,AUTO,Magnetics,Inductors,L1,,HCRAPQU001-0,EcoInvent,"transformer production, low voltage use","transformer production, low voltage use",kg,Input,0.0827,82.7,82.7,0.0827,mass-based,
10,1,7,AUTO,Passives,Resistors,R1-R4,,RMF_47K_5%_3W_250PPM_2286-1670X520,EcoInvent,"Volume calculated from area and density, THT ","resistor, metal film type, through-hole mounting",kg,Input,0.0496644,12.4161,49.6644,0.0496644,mass-based,
12,1,8,AUTO,Assembly Processes,THT,THT_PROCESS,,,EcoInvent,,"mounting, through-hole technology, Pb-free solder",m2,Input,0.017,,,,area-based,
2,2,2,Film,Passives,Capacitors,"C1, C4",,MKY22W21004B00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.002673,1.3365,2.673,0.002673,mass-based,
3,2,2,Film,Passives,Capacitors,C3,,MKP4O141507G00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.04425975,44.25975,44.25975,0.04425975,mass-based,
5,2,2,Film,Passives,Capacitors,C8,,DCP4L055007JD4KSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.09804375,98.04375,98.04375,0.09804375,mass-based,
11,2,2,Film,Passives,Capacitors,"C2,C5",,MKY22W14703F00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0019305,0.96525,1.9305,0.0019305,mass-based,
4,3,3,Electrolytic,Passives,Capacitors,"C6, C7, C9, C10",,LGR2G221MELA50,EcoInvent,,"capacitor production, electrolyte type, > 2cm height",kg,Input,0.5615588,140.3897,561.5588,0.5615588,mass-based,
7,4,5,Connectors,Passives,Electromechanical,"J1,J2,J4",,350789-1,EcoInvent ,,"electric connector production, peripheral type buss",kg,Input,0.005949,1.983,5.949,0.005949,mass-based,
8,4,5,Connectors,Passives,Electromechanical,J3,,350786-1,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00137,1.37,1.37,0.00137,mass-based,
