"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","Other_extra_g","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Database_component_title","Comments"
"PCB","","PCB","","","Panel of 2","EDA-04977-V1","Panel of 2, 160x105 mm","1","m2","","YES","170","100","","","","","","","EcoInvent ","printed wiring board production, for power supply unit, desktop computer, Pb free","m2","Input","","Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices."
"C1, C4","","Passives","Capacitors (unmounted)","","WIMA","MKY22W21004B00MSSD","10 nF, ±20%, 300VAC, Class Y2, MKP-Y2","2","kg","","NO","18","5","11","","1.3","1.4","0","0","EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","",""
"C3","","Passives","Capacitors (mounted)","","WIMA","MKP4O141507G00MSSD","±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4)","1","kg","","NO","20","39.5","41.5","","1.3","1.4","0","","EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","",""
"C6, C7, C9, C10","","Passives","Capacitors (mounted)","","NICHICON","LGR2G221MELA50","±20% 400V Aluminium Electrolytic Capacitor (LGR Serie)","4","kg","","NO",,,,25.5254,5,6,0,,"EcoInvent","capacitor production, electrolyte type, > 2cm height","kg","Input","",""
"C8","","Passives","Capacitors (mounted)","","WIMA","DCP4L055007JD4KSSD","±10% 800VDC Metallized Polypropylene Capacitor (MKP4) For DC-Link Applications","1","kg","","NO","35","41.5","50","","1.3","1.4","0","","EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","",""
"PCB Terminal Test Pins","","Passives","Test PINs","","VERO TECHNOLOGIES","20-2136","Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole)","2","kg","8e-05","YES","","","","","","","","","EcoInvent ","electronic component, passive, unspecified","kg","Input","","Chossen passive generic because it includes thins kind of components and there is not another alternative."
"J1,J2,J4","","Passives","Connectors","","TYCO ELECTRONICS","350789-1","3 Circuits In-Line - Universal MATE-N-LOK Connector","3","kg","0.001983 ","YES","","","","","","","","","EcoInvent ","electric connector production, peripheral type buss","kg","Input","","Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/"
"J3","","Passives","Connectors","","TYCO ELECTRONICS","350786-1","2 Circuits In-Line - Universal MATE-N-LOK Connector","1","kg","0.00137","YES","","","","","","","","","EcoInvent","electric connector production, wire clamp","kg","Input","","Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/"







































