Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-04976-V1,EcoInvent,,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,0.017,,,,area-based,
2,1,2,AUTO,Passives,Capacitors (mounted),"C1, C3",1206,CC1206_100PF_50V_5%_NP0,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
3,1,2,AUTO,Passives,Capacitors (mounted),"C2, C6, C7",1206,CC1206_1NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000169728,0.056576,0.169728,0.000169728,mass-based,
4,1,2,AUTO,Passives,Capacitors (mounted),"C4, C5",1206,CC1206_100NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
5,1,2,AUTO,Passives,Capacitors (mounted),"C8, C9",1206,CC1206_10NF_50V_10%_X7R,EcoInvent,0.055-0.06,"capacitor production, for surface-mounting",kg,Input,0.000113152,0.056576,0.113152,0.000113152,mass-based,
6,1,3,AUTO,Diodes and optoelectronics,,"D1, D3, D12",SOT23-3,BAV199,EcoInvent,0.008-0.012,"diode production, glass-, for surface-mounting",kg,Input,2.46375e-05,0.008212,0.024637,2.46375e-05,mass-based,
7,1,3,AUTO,Diodes and optoelectronics,,"D2, D4-D6, D9, D10, D13, D14",SOD-80C,BZV55-B10,EcoInvent,0.017,"diode production, glass-, for surface-mounting",kg,Input,0.00014992,0.01874,0.14992,0.00014992,mass-based,
9,1,3,AUTO,Diodes and optoelectronics,,"D8, D11",DO-214AA,SMBJ48CA,EcoInvent,0.08-0.1,"diode production, glass-, for surface-mounting",kg,Input,0.000205874104,0.102937,0.205874,0.000205874104,mass-based,
8,1,4,AUTO,Diodes and optoelectronics,TVS Diodes,D7,DO-214AA,SMBJ24A,EcoInvent,0.08-0.1,"diode production, glass-, for surface-mounting",kg,Input,0.000102937052,0.102937,0.102937,0.000102937052,mass-based,
11,1,5,AUTO,Control and signal management,Protection,F1,,microSMD005F,EcoInvent,,"electronic component, passive, unspecified",kg,Input,1.0018708e-05,0.010019,0.010019,1.0018708e-05,mass-based,
12,1,6,AUTO,Control and signal management,ICs,IC1,DIP6 SMD,AQV210EHA,EcoInvent,0.1-0.12,"electronic component production, active, unspecified",kg,Input,0.000427,0.427,0.427,0.000427,mass-based,
13,1,7,AUTO,Passives,Connectors,J1,,640900-1,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00319,3.19,3.19,0.00319,mass-based,
14,1,7,AUTO,Passives,Connectors,"J2,J4",,350789-1,EcoInvent ,,"electric connector production, peripheral type buss",kg,Input,0.003966,1.983,3.966,0.003966,mass-based,
15,1,7,AUTO,Passives,Connectors,J3,,N2514-6003RB,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00331,3.31,3.31,0.00331,mass-based,
16,1,8,AUTO,Diodes and optoelectronics,Optoelectronics,LD1,,LY T676-R1S2-26,EcoInvent,,light emitting diode production,kg,Input,0.035,35.0,35.0,0.035,mass-based,
17,1,9,AUTO,Passives,Resistors,"R1-R6,R15-R19,R36-R46",1206,R1206_270K_0.1%_0.25W_25PPM,EcoInvent,,"resistor production, surface-mounted",kg,Input,0.000282832,0.012856,0.282832,0.000282832,mass-based,
