Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05137-V1,EcoInvent ,,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,0.0168,,,,area-based,
2,1,2,AUTO,Power module,IGBT,"IGBT_A1, A2, B1, B2",TO-247,IKW25N120H3,EcoInvent,Infineon IKW40N120H3,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,0.02168,5.42,21.68,0.02168,mass-based,
3,1,3,AUTO,Power module,Gate driver,"IC1, IC2",,2ED3141MC12L,EcoInvent,0.35-0.4,"integrated circuit production, logic type",kg,Input,0.00075384375,0.376922,0.753844,0.00075384375,mass-based,
4,1,4,AUTO,Auxiliary power supply,DC/DC Converters,IC3–IC6,,TRV 1-2413M,EcoInvent,,"electronic component production, active, unspecified",kg,Input,0.0192,4.8,19.2,0.0192,mass-based,
5,1,5,AUTO,Auxiliary power supply,Voltage regulator,REG1,D2PAK,LD1086D2M33TR,EcoInvent,0.8-0.9,"integrated circuit production, logic type",kg,Input,0.000879514694,0.879515,0.879515,0.000879514694,mass-based,
6,1,6,AUTO,Control and signal management,ICs,IC7,DIP6 SMD,AQV210EHA,EcoInvent,0.1-0.12,"electronic component production, active, unspecified",kg,Input,0.000427,0.427,0.427,0.000427,mass-based,
7,1,6,AUTO,Control and signal management,ICs,IC8,SOIC16,AM26LV32IDR,EcoInvent,0.2-0.25,"integrated circuit production, logic type",kg,Input,0.0001853125,0.185313,0.185313,0.0001853125,mass-based,
8,1,7,AUTO,Control and signal management,Protection,F1,,microSMD005F,EcoInvent,,"electronic component, passive, unspecified",kg,Input,1.0018708e-05,0.010019,0.010019,1.0018708e-05,mass-based,
9,1,8,AUTO,Diodes and optoelectronics,Zener Diodes,D1–D4,SOD-80C,BZV55-B15,EcoInvent,0.017,"diode production, glass-, for surface-mounting",kg,Input,7.496e-05,0.01874,0.07496,7.496e-05,mass-based,
10,1,9,AUTO,Diodes and optoelectronics,,"D5, D6",SOD-80C,BZV55-B10,EcoInvent,0.017,"diode production, glass-, for surface-mounting",kg,Input,3.748e-05,0.01874,0.03748,3.748e-05,mass-based,
11,1,10,AUTO,Diodes and optoelectronics,TVS Diodes,D7,DO-214AA,SMBJ24A,EcoInvent,0.08-0.1,"diode production, glass-, for surface-mounting",kg,Input,0.000102937052,0.102937,0.102937,0.000102937052,mass-based,
12,1,10,AUTO,Diodes and optoelectronics,TVS Diodes,D8–D11,SOT23-3,SM712.TCT,EcoInvent,0.008-0.012,"diode production, glass-, for surface-mounting",kg,Input,3.285e-05,0.008212,0.03285,3.285e-05,mass-based,
