Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0195,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,SS1,S1"
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.0039843125,Input,0e5d7b83-f812-32ac-a5e1-ac1d95910183,"P1,SS1,S1"
"insulated gate bipolar transistor, electric vehicle application",4c5db6d0-a23c-4794-a259-3f63b780d853,kg,0.001834,Input,05752997-b19a-3312-a7fc-e5d5c67f3957,
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,m2,0.0195,Input,"dc812936-7e39-3ce7-b0e1-89bd03cfd262
steel",
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.0195,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.001475149,Input,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea,"P1,SS1,S1"
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab,kg,0.0035392225,Input,62e0e6af-6aed-35f7-b9d3-e431d9f2cdd9,"P1,SS1,S1"
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29,kg,0.000623632,Input,b3241c19-7b7f-3545-b5ce-fde44dbd66de,"P1,SS1,S1"
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.0050248155,Input,8f52d745-448c-3c83-b48a-7a26867102b0,"P1,SS1,S1"
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.040905,Input,767a703b-4ad7-3037-9d45-63376b3ebf6f,"P1,SS1,S1"
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.00036683064,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,SS1,S1"
"inductor production, low value multilayer chip",736906f7-164e-4155-9fb4-894177303917,kg,0.00055,Input,427ee4f1-ce71-34b3-b24f-ed9eca4585da,"P1,SS1,S1"
"inductor production, ring core choke type",3c3632b8-ce5b-4957-ac59-54e931ccd247,kg,0.170841,Input,3df970a8-7ad0-39c0-b927-a268828edb22,"P1,SS1,S1"
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.0006969115,Input,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6,"P1,SS1,S1"
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54,kg,0.000204425,Input,c1b963b5-774d-32ed-93cf-f52a2d1f8e37,"P1,SS1,S1"
analog_control,,kg,0.29010529864,Output,,
