Card,Designators,Section,Subsection,Category,Manufacturer,Part_Number,Ecoinvent_flow,Ecoinvent_unit,Total_quantity,Total_mass_kg,Direction,Comments
4Q_output_control_card,PCB,PCB,,AUTO,Panel of 1,EDA-05282-V1,"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.02255,0.069454,Input,Bare board
4Q_output_control_card,F1,Passives,Protection,AUTO,MERSEN/FERRAZ SHAWMUT,G076458,"electronic component, passive, unspecified",kg,0.0025,0.0025,Input,"Mass from datasheet, aproximated as passive"
4Q_output_control_card,"F3,F4",Passives,Protection,AUTO,Littelfuse,microSMD005F,"electronic component, passive, unspecified",kg,2.0037417e-05,2.0037417e-05,Input,As passive
4Q_output_control_card,"FH1, FH3",Electromechanical,Fuse holder,AUTO,BUSSMANN,1A1907-06-R,"electronic component, passive, unspecified",kg,0.00148,0.00148,Input,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D
4Q_output_control_card,FH2,Electromechanical,Fuse holder,AUTO,BUSSMANN,1A1907-06-R,"electronic component, passive, unspecified",kg,0.00074,0.00074,Input,
4Q_output_control_card,"IC2, IC3",Modules,Hybrid relays,AUTO,Panasonic,AQV210EHA,"electronic component production, active, unspecified",kg,0.000854,0.000854,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. TO GENERIC DATABASE.
4Q_output_control_card,IC4,Modules,DC/DC Converters,AUTO,TRACO POWER,TEN 6-2415N,ten,kg,0.0127,0.0127,Input,model created
4Q_output_control_card,"IC5, IC6",IC,Analog,AUTO,DALLAS MAXIM,DS18B20,"integrated circuit production, logic type",kg,0.000428,0.000428,Input,As integrated circuit. Mass info: https://www.mouser.ch/ProductDetail/Traco-Power/DS18B20%2B?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D
4Q_output_control_card,"IC7, IC8",IC,Analog,AUTO,TEXAS INSTRUMENTS,INA141U,"integrated circuit production, logic type",kg,8.0262e-05,8.0262e-05,Input,
4Q_output_control_card,"J1,J3",Electromechanical,Connectors,AUTO,TYCO ELECTRONICS,1-770166-0,"electric connector production, wire clamp",kg,0.00156,0.00156,Input,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/"
4Q_output_control_card,J2,Electromechanical,Connectors,AUTO,TYCO ELECTRONICS,640900-1,"electric connector production, wire clamp",kg,0.00319,0.00319,Input,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/
4Q_output_control_card,J4,Electromechanical,Connectors,AUTO,3M,N3429-6302RB,"electric connector production, wire clamp",kg,0.0211603712,0.0211603712,Input,Calculated because there were different mass values depending on the website
4Q_output_control_card,"J5,J6",Electromechanical,Connectors,AUTO,3M,N3428-6302RB,"electric connector production, wire clamp",kg,0.03636257408,0.03636257408,Input,Calculated because there were different mass values depending on the website
4Q_output_control_card,"R1 > R99, R121 > R123, R125 > R127, R129 > R131",Passives,Resistors,AUTO,Generic,R1206_100R_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.001388448,0.001388448,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,"R100 > R109; R111 > R120, R124, R128; R133 > R136; R146 > R148; R150 > R152, R154, R165; R169 > R178, R180, R181; R190, R191, R194, R195; R197, R198",Passives,Resistors,AUTO,Generic,R1206_100K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000668512,0.000668512,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,"R110, R138 > R143, R155 > R164",Passives,Resistors,AUTO,Generic,R1206_1K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000218552,0.000218552,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,"R132, R137, R144, R145; R149, R166 > R168, R179; R182 > R189, R192, R193; R196, R201, R206 > R208; R211 > R214; R217 > R219",Passives,Resistors,AUTO,Generic,R1206_10K_1%_0.25W_100PPM,"resistor production, surface-mounted",kg,0.000398536,0.000398536,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,"R153, R204, R205",Passives,Resistors,AUTO,Generic,R1206_10R_1%_0.25W_200PPM,"resistor production, surface-mounted",kg,3.8568e-05,3.8568e-05,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,TP1 > TP6,Passives,Test PIN,AUTO,VERO TECHNOLOGIES,20-2136,"electronic component, passive, unspecified",kg,0.00048,0.00048,Input,Passive generic not better aproximation
4Q_output_control_card,"J4, J5, J6  screws",Hardware,Mounting hardware,AUTO,3M,,"steel, low-alloyed+metal working, average for steel product manufacturing",kg,0.00379155,0.00379155,Input,
4Q_output_control_card,THT_PROCESS,Assembly Processes,THT,AUTO,,,"mounting, through-hole technology, Pb-free solder",m2,0.02255,,Input,
4Q_output_control_card,SMD_PROCESS,Assembly Processes,SMD,AUTO,,,"mounting, surface mount technology, Pb-free solder",m2,0.02255,,Input,
4Q_output_control_card,"C1, C4, C8, C12,C15, C16, C23 > C26,C36, C37, C41, C43, C44",Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.00084864,0.00084864,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
4Q_output_control_card,"C2,C14",Passives,Capacitors,MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000113152,0.000113152,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
4Q_output_control_card,"C3, C6, C7, C10, C13,C17, C18, C21, C22,C33 > C35, C38 > C40,C42, C45",Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000961792,0.000961792,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
4Q_output_control_card,C5,Passives,Capacitors,MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,5.6576e-05,5.6576e-05,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
4Q_output_control_card,"C9, C11, C19, C20,C31, C32",Passives,Capacitors,MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,"capacitor production, for surface-mounting",kg,0.000339456,0.000339456,Input,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
4Q_output_control_card,C27 > C30,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,"capacitor production, electrolyte type, < 2cm height",kg,0.002831378,0.002831378,Input,MASS DATA FROM CASING.
4Q_output_control_card,"D1, D2, D15",Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,"diode production, glass-, for surface-mounting",kg,0.000308811156,0.000308811156,Input,it is SMD
4Q_output_control_card,"D3, D4, D7 > D14",Discrete Semiconductors,Small signal,Dual,NXP SEMICONDUCTORS,BAV199,"diode production, glass-, for surface-mounting",kg,8.2125e-05,8.2125e-05,Input,MASS FROM CASING.
4Q_output_control_card,D5,Discrete Semiconductors,Small signal,Zener Diodes,NEXPERIA,BZV55-B10,"diode production, glass-, for surface-mounting",kg,1.874e-05,1.874e-05,Input,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD)
4Q_output_control_card,D6,Discrete Semiconductors,Small signal,Rectifier,FAIRCHILD SEMICONDUCTOR,ES1D,"diode production, glass-, for surface-mounting",kg,0.00012,0.00012,Input,SMD diode. Mass info: https://www.mouser.ch/ProductDetail/onsemi/ES1D?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D
4Q_output_control_card,IC1,IC,Digital,Interface,Texas Instruments,AMC3330DWE,"integrated circuit production, logic type",kg,0.0001853125,0.0001853125,Input,"logic IC, MASS INFO FROM CASING."
4Q_output_control_card,"R199, R200",Passives,Resistors,Precision Metal Foil Resistor,VISHAY FOIL RESISTOR,Y6071020R000B9L,"resistor production, metal film type, through-hole mounting",kg,0.0028,0.0028,Input,"Mass from the datasheet, metal film type is the closest technology"
4Q_output_control_card,"R202, R203",Passives,Resistors,Zero Ohm Jumper,Generic,R1206_0R_JUMPER,"resistor production, surface-mounted",kg,3.8568e-05,3.8568e-05,Input,The dataset explicitly represents surface‑mounted resistors.
4Q_output_control_card,REG1,IC,Analog,Power management,STMicroelectronics,L7805ABD2T-TR,"integrated circuit production, logic type",kg,0.001566914694,0.001566914694,Input,TO-263-2=D2PAK. Mass from casing.
4Q_output_control_card,"REG2,REG4",IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7815CT,"integrated circuit production, logic type",kg,0.00464357175,0.00464357175,Input,mass calculated and it is similar to the one on:https://www.datasheets.com/texas-instruments/LM7815CT%2FNOPB
4Q_output_control_card,"REG3,REG5",IC,Analog,Power management,FAIRCHILD SEMICONDUCTOR,LM7915CT,"integrated circuit production, logic type",kg,0.00464357175,0.00464357175,Input,Mass from casing
4Q_output_control_card,T1,Discrete Semiconductors,Power,MOSFET,ST MICROELECTRONICS,STD10NF10T4,"transistor production, surface-mounted",kg,0.000332645,0.000332645,Input,Specific for surface‑mounted transistors.
4Q_output_control_card,T2,Discrete Semiconductors,Small signal,MOSFET,Infineon,BSS119N,"transistor production, surface-mounted",kg,8.2125e-06,8.2125e-06,Input,
4Q_output_control_card,T3,Discrete Semiconductors,Power,General purpose,onsemi,MJD45H11,"transistor production, surface-mounted",kg,0.000332645,0.000332645,Input,Specific for surface‑mounted transistors.
4Q_output_control_card,T4,Discrete Semiconductors,Small signal,Bipolar transistor,onsemi,MMBT3906L,"transistor production, surface-mounted",kg,8.2125e-06,8.2125e-06,Input,Specific for surface‑mounted transistors; matches SOT‑23 package.
