Flow,Unit,MEXICO_MODULES_BG,MEXICO_SECTIONS_BG,Delta
"aluminium alloy, AlMg3",kg,10.35367127,10.35367127,0.0
"aluminium, primary, cast alloy slab from continuous casting",kg,0.008388,0.008388,0.0
brass,kg,0.032,0.032,0.0
"cable, unspecified",kg,0.62964,0.62964,0.0
can_els,kg,0.6,0.6,0.0
"capacitor production, electrolyte type, < 2cm height",kg,0.0167333565,0.0167333565,0.0
"capacitor production, electrolyte type, > 2cm height",kg,0.8915588,0.8915588,0.0
"capacitor production, film type, for through-hole mounting",kg,0.5895252225,0.5895252225,0.0
"capacitor production, for surface-mounting",kg,0.01311343696,0.01311343696,0.0
"copper, cathode",kg,0.6502633,0.6502633,0.0
"diode production, glass-, for surface-mounting",kg,0.007565800916,0.007565800916,0.0
"diode production, glass-, for through-hole mounting",kg,0.00028748,0.00028748,0.0
"electric connector production, peripheral type buss",kg,0.418935,0.418935,0.0
"electric connector production, wire clamp",kg,0.25360066856,0.25360066855999996,-5.551115123125783e-17
"electronic component production, active, unspecified",kg,0.003062,0.003062,0.0
"electronic component, passive, unspecified",kg,0.149334356083,0.149334356083,0.0
"epoxy resin, liquid",kg,0.02536443,0.02536443,0.0
ferrite,kg,2.380512,2.380512,0.0
"inductor production, low value multilayer chip",kg,0.00068144,0.00068144,0.0
"inductor production, ring core choke type",kg,0.178841,0.178841,0.0
injection moulding,kg,0.11129,0.11129,0.0
"insulated gate bipolar transistor production, for electric vehicle applications",kg,0.02168,0.02168,0.0
"insulated gate bipolar transistor, electric vehicle application",kg,0.011834,0.011834,0.0
"integrated circuit production, logic type",kg,0.028860614526,0.028860614526,0.0
light emitting diode production,kg,0.00098096,0.00098096,0.0
"market for steel, low-alloyed",kg,0.00884695,0.00884695,0.0
"metal working, average for aluminium product manufacturing",kg,10.36205927,10.36205927,0.0
"metal working, average for chromium steel product manufacturing",kg,0.00164785,0.00164785,0.0
"metal working, average for copper product manufacturing",kg,0.0768,0.07680000000000001,1.3877787807814457e-17
"metal working, average for steel product manufacturing",kg,0.01643005,0.01643005,0.0
"mounting, surface mount technology, Pb-free solder",m2,0.15135,0.15135,0.0
"mounting, through-hole technology, Pb-free solder",m2,0.2031,0.2031,0.0
nylon 6,kg,0.0036,0.0036,0.0
polycarbonate,kg,0.00129,0.00129,0.0
"polyester resin, unsaturated",kg,0.11,0.11,0.0
polytetrafluoroethylene,kg,0.0064,0.0064,0.0
"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.16784,0.16784,0.0
"resistor production, metal film type, through-hole mounting",kg,0.0028,0.0028,0.0
"resistor production, surface-mounted",kg,0.0108682525,0.0108682525,0.0
"resistor production, wirewound, through-hole mounting",kg,0.005948,0.005948,0.0
"resistor, metal film type, through-hole mounting",kg,0.00641001,0.00641001,0.0
"steel, chromium steel 18/8",kg,0.00164785,0.00164785,0.0
"steel, low-alloyed",kg,0.0075831,0.0075831,0.0
ten,kg,0.0511,0.0511,0.0
"transformer production, low voltage use",kg,0.12618,0.12618000000000001,2.7755575615628914e-17
"transistor production, surface-mounted",kg,0.0017238925,0.0017238925,0.0
"transistor production, wired, big size, through-hole mounting",kg,0.10298,0.10298,0.0
"transistor production, wired, small size, through-hole mounting",kg,0.0038,0.0038,0.0
"wire drawing, copper",kg,0.6054633,0.6054633,0.0
