Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.26,Input,9e4d4bb4-2aed-3ef2-9caa-46439cf1c523,
"wire drawing, copper",cdb7b939-f508-49ed-80f3-b39f6137fe1c,kg,0.26,Input,9dd1ce4b-030a-33ee-a66e-05dc9455269a,
ferrite,fa6aa6bf-07c9-45bf-9fdc-a358a497b7e1,kg,0.47,Input,0e2aad85-6f2d-3cc4-ac35-2405033e455b,"P2,S1"
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.0108,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8,kg,0.0015,Input,aed09801-e9a1-390e-86f5-2bf4b0ffbdd6,
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b,kg,0.0015,Input,4e9c0a3b-9b1e-3533-82c3-7f81c02a0dea,
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.002,Input,8f52d745-448c-3c83-b48a-7a26867102b0,
"glass fibre reinforced plastic, polyamide, injection moulded",0798a5d1-6713-4c82-8ec9-c40ac2548279,kg,0.035,Input,94aa086a-17a4-3969-b62a-9e3f10616927,
acrylonitrile-butadiene-styrene copolymer,71e296f1-2f6d-481a-87ed-e0eac085054d,kg,0.09,Input,a6f74811-a095-359f-8e0c-bef7ebfbdee3,
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,kg,0.125,Input,2425ed8d-4a27-32f5-b80e-07711f419c02,
"epoxy resin, liquid",51c7e57a-00b7-4412-b56c-94c17b211ee7,kg,0.11,Input,1ab27f58-6586-33ea-9e7c-86b9e976adc1,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.005,Input,e7dad296-81c0-3161-940f-7e089569896d,
caen_els,,kg,1,Output,,
