Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.017,Input,9614a58c-201f-3dd5-b0f5-fc697ac98c1c,"P1,SS1,S1"
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.00016,Input,0e5d7b83-f812-32ac-a5e1-ac1d95910183,"P1,SS1,S1"
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.005949,Input,767a703b-4ad7-3037-9d45-63376b3ebf6f,"P1,SS1,S1"
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,kg,0.0827,Input,33903d25-0ea9-3fde-96d4-f3e0c10deb33,"P1,SS1,S1"
"resistor, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.00497724,Input,287c9baf-8ec5-3321-bcfc-8b10e95550eb,"P1,SS1,S1"
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.017,Input,6a7aefa1-7d5c-3a95-b8a8-98f310fd8aba,
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.146907,Input,0883f34c-fa0a-3ad4-bf76-72a7e6b951a6,"P1,SS1,S1"
"capacitor production, electrolyte type, > 2cm height",5f06394c-4efd-4c65-9e82-5fd3cbebbd15,kg,0.5615588,Input,d5406615-e515-38b2-8e40-05c14fc6707a,"P1,SS1,S1"
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.00137,Input,e7dad296-81c0-3161-940f-7e089569896d,"P1,SS1,S1"
filter_card,,kg,0.85598204,Output,,
