Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments
machined_heatsink,,Mechanical components,heatsink,,,,,1,kg,4.3,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
bottom_side,,Mechanical components,panel,,,,,1,kg,3.35,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
rear_panel,,Mechanical components,panel,,,,,1,kg,0.17,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
fan_panel,,Mechanical components,panel,,,,,1,kg,0.1,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
front_cover,,Mechanical components,cover,,,,,1,kg,0.25,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
rear_cover,,Mechanical components,cover,,,,,1,kg,0.47,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
separator,,Mechanical components,separator,,,,,1,kg,0.15,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
side_panel,,Mechanical components,panel,,,,,1,kg,0.39,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
rear_cover_support,,Mechanical components,cover,,,,,1,kg,0.012,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
puls_panel,,Mechanical components,panel,,,,,1,kg,0.02,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
igbt_spacer,,Mechanical components,spacer,,,,,1,kg,0.004,YES,,,,,,,,,Ecoinvent,"copper, cathode + metal working, average for copper product manufacturing",kg,Input ,Explain in the documentation
FGC4 frame,,Mechanical components,control,,,,,1,kg,0.454,YES,,,,,,,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Explain in the documentation
Schroff crate,,Mechanical components,control,,,,,1,kg,,NO,,,,258.038,2.66,2.67,,,Ecoinvent,"aluminium alloy, AlMg3 + metal working, average for aluminium product manufacturing",kg,Input ,Mass calculated from volume and density of the AG3 aluminium
