Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.27886489832323197,mol H+-Eq,0.0050183048510158085,mol H+-Eq/ref
Climate change,26.598841099794804,kg CO2-Eq,0.003521587214886436,kg CO2-Eq/ref
Climate change: biogenic,0.047568504640023275,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,26.495957274265255,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.05531532088952179,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,775.8601511005111,CTUe,0.013679598882229043,CTUe/ref
"Ecotoxicity: freshwater, inorganics",770.7536156594188,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",5.106535441092404,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,346.7050343850377,"MJ, net calorific value",0.005333574079582675,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.038706499344383104,kg P-Eq,0.02408840158338646,kg P-Eq/ref
Eutrophication: marine,0.04049459178453221,kg N-Eq,0.0020718452617562006,kg N-Eq/ref
Eutrophication: terrestrial,0.445905562563245,mol N-Eq,0.0025227323870204038,mol N-Eq/ref
Human toxicity: carcinogenic,2.134980040018846e-08,CTUh,0.0012374615514022839,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.4456945686865582e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.892854713322872e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.204876819656437e-06,CTUh,0.009359284269019053,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.1590912172212387e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",4.578560243519783e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.8937719575668854,kBq U235-Eq,0.0006857014030366453,kBq U235-Eq/ref
Land use,137.13879088896064,dimensionless,0.00016734483828098387,dimensionless/ref
Material resources: metals/minerals,0.010617165968595953,kg Sb-Eq,0.1668772333327694,kg Sb-Eq/ref
Ozone depletion,1.339487245697889e-06,kg CFC-11-Eq,2.5587939281675405e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.6848736196692355e-06,disease incidence,0.002829974821696929,disease incidence/ref
Photochemical oxidant formation: human health,0.12926625875818729,kg NMVOC-Eq,0.0031637003646617437,kg NMVOC-Eq/ref
Water use,9.721809419762225,m3 world Eq deprived,0.0008476812625490349,m3 world Eq deprived/ref
