Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,57.08376079680852,mol H+-Eq,1.0272490924577051,mol H+-Eq/ref
Climate change,1280.553517553418,kg CO2-Eq,0.16954050285404199,kg CO2-Eq/ref
Climate change: biogenic,7.57242788087624,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,1270.8230811970618,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,2.1580084754803477,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,64905.18722903172,CTUe,1.1443775342885298,CTUe/ref
"Ecotoxicity: freshwater, inorganics",64455.201602927686,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",449.9856261039995,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,17058.455567987767,"MJ, net calorific value",0.2624205807005689,"MJ, net calorific value/ref"
Eutrophication: freshwater,4.640302206133216,kg P-Eq,2.8878215520110486,kg P-Eq/ref
Eutrophication: marine,3.277000604995111,kg N-Eq,0.1676628378514658,kg N-Eq/ref
Eutrophication: terrestrial,43.37370152622549,mol N-Eq,0.2453888239388037,mol N-Eq/ref
Human toxicity: carcinogenic,5.945737911883809e-06,CTUh,0.3446225221199804,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.506719201826891e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",4.3901871005691723e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.000571547968713224,CTUh,4.439690286425118,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0005364781875528651,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.506978116035905e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,120.68496457912774,kBq U235-Eq,0.028597225611003592,kBq U235-Eq/ref
Land use,19469.544856664448,dimensionless,0.02375788654926186,dimensionless/ref
Material resources: metals/minerals,0.73287306496815,kg Sb-Eq,11.519065429299786,kg Sb-Eq/ref
Ozone depletion,4.6656367506193956e-05,kg CFC-11-Eq,0.0008912666415349249,kg CFC-11-Eq/ref
Particulate matter formation,0.00018300464281308438,disease incidence,0.3073812334460667,disease incidence/ref
Photochemical oxidant formation: human health,13.059678574474507,kg NMVOC-Eq,0.31962640727244906,kg NMVOC-Eq/ref
Water use,787.0392550279097,m3 world Eq deprived,0.0686249236712591,m3 world Eq deprived/ref
