Flow,Amount,Unit,Is input
Water,0.23413246667211035,m3,False
"Transformation, to industrial area",0.0009106890967596504,m2,True
"Transformation, to lake, artificial",0.0010812562208173206,m2,True
"Water, turbine use, unspecified natural origin",164.1525512842089,m3,True
"Transformation, from forest, unspecified",0.0011432028987855617,m2,True
"Energy, potential (in hydropower reservoir), converted",21.73601219841792,MJ,True
"Carbon dioxide, from soil or biomass stock",0.04091948596966196,kg,False
Water,165.63840148130197,m3,False
"Methane, non-fossil",0.0012912605818804672,kg,False
"Volume occupied, reservoir",1.3207906982230009,m3*a,True
"Occupation, lake, artificial",0.14903886994828494,m2*a,True
Water,2.4061871285700507,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00028070959982248305,kg,False
"Hydrocarbons, unspecified",2.8950629273346495e-06,kg,False
Cadmium II,6.248101961128792e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.1370580307100236e-12,kg,False
Selenium IV,3.51416739358399e-08,kg,False
Chromium VI,1.4430778590258697e-08,kg,False
Vanadium V,3.4742337805156315e-09,kg,False
Copper ion,5.946294438580368e-06,kg,False
"TOC, Total Organic Carbon",0.0002973486973066577,kg,False
Ammonia,0.0024401461002630394,kg,False
Arsenic ion,2.0784912643275372e-07,kg,False
Chromium III,4.897524668618973e-07,kg,False
Zinc II,3.69910369462931e-06,kg,False
Nitrogen,1.2687208306643487e-06,kg,False
"Water, unspecified natural origin",0.036195881493774486,m3,True
"AOX, Adsorbable Organic Halides",3.5125566852499874e-07,kg,False
Benzene,6.135943930404909e-06,kg,False
Rhodium III,1.4143793140903423e-10,kg,False
Mercury II,6.064786063565723e-09,kg,False
Chloride,0.025055896357136915,kg,False
Tin ion,3.6886268995565094e-07,kg,False
Formaldehyde,5.438768267385562e-06,kg,False
Nickel II,5.794026799849061e-07,kg,False
Sulfate,0.0007448008772524587,kg,False
Sulfide,7.366962518927539e-06,kg,False
Selenium IV,7.026719995468595e-09,kg,False
"Suspended solids, unspecified",5.217179914067966e-05,kg,False
Nitrogen oxides,0.018675871472472506,kg,False
Tellurium,2.1514924672460351e-10,kg,False
Platinum,1.4143793140903423e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.765197832403728e-10,kg,False
Beryllium II,1.0897978404512566e-09,kg,False
Palladium II,1.4509595588745204e-10,kg,False
Vanadium V,1.435940328698543e-06,kg,False
Copper ion,1.2050348019044053e-06,kg,False
Antimony ion,4.777935778182333e-07,kg,False
Ammonium,9.550141105562192e-06,kg,False
Cobalt II,1.279833484339319e-07,kg,False
Arsenic ion,9.519113895803244e-09,kg,False
Fluoride,4.9145840961882135e-06,kg,False
Barium II,7.052921859202514e-07,kg,False
Hydrogen fluoride,7.769743351365696e-06,kg,False
Lead II,2.844999429817488e-06,kg,False
Hydrochloric acid,2.359576428825786e-05,kg,False
Boron,6.933832120819926e-08,kg,False
Chromium III,2.6171096825477158e-05,kg,False
Sodium I,0.01505566539661038,kg,False
"NMVOC, non-methane volatile organic compounds",0.0032097703653870347,kg,False
t-Butyl methyl ether,3.4669160604099574e-09,kg,False
Cyanide,1.5170195905820105e-06,kg,False
"Heat, waste",0.24371378974915134,MJ,False
