Flow,Amount,Unit,Is input
Water,0.34073389224872414,m3,False
"Transformation, to industrial area",0.001504570069217836,m2,True
"Transformation, to lake, artificial",0.0024664866646129683,m2,True
"Water, turbine use, unspecified natural origin",287.911528745486,m3,True
"Transformation, from forest, unspecified",0.00230013237980564,m2,True
"Energy, potential (in hydropower reservoir), converted",36.69175437852233,MJ,True
"Carbon dioxide, from soil or biomass stock",0.08796935958465842,kg,False
Water,290.8739054739221,m3,False
"Methane, non-fossil",0.0026777972427528343,kg,False
"Volume occupied, reservoir",2.4058816347495497,m3*a,True
"Occupation, lake, artificial",0.3268797344039129,m2*a,True
Water,5.102129434008897,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0004453428253686866,kg,False
"Hydrocarbons, unspecified",5.130830469396255e-06,kg,False
Cadmium II,5.777205378306583e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.441788448585184e-12,kg,False
Selenium IV,5.597210767507382e-08,kg,False
Chromium VI,2.718206256684009e-08,kg,False
Vanadium V,7.281342521645223e-09,kg,False
Copper ion,1.1511654238400599e-05,kg,False
"TOC, Total Organic Carbon",0.00013739616660021957,kg,False
Ammonia,0.0055293741796014675,kg,False
Arsenic ion,4.5435501251706566e-07,kg,False
Chromium III,4.038074032522355e-07,kg,False
Zinc II,1.4412261303191792e-05,kg,False
Nitrogen,2.506250771493998e-06,kg,False
"Water, unspecified natural origin",0.05235972453618078,m3,True
"AOX, Adsorbable Organic Halides",1.8213219525173033e-07,kg,False
Benzene,2.0432941059158045e-06,kg,False
Rhodium III,3.0416423128366177e-10,kg,False
Mercury II,1.076480381292438e-08,kg,False
Chloride,0.006015673191280765,kg,False
Tin ion,5.088574899694007e-07,kg,False
Formaldehyde,1.0860128292699217e-05,kg,False
Nickel II,5.706235706550478e-07,kg,False
Sulfate,0.0016993445310502303,kg,False
Sulfide,2.9341249917737503e-06,kg,False
Selenium IV,1.4711218750100755e-08,kg,False
"Suspended solids, unspecified",6.504752940730932e-05,kg,False
Nitrogen oxides,0.0465143329275835,kg,False
Tellurium,4.6245899894398547e-10,kg,False
Platinum,3.0416423128366177e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.429451557939847e-10,kg,False
Beryllium II,3.933023992861912e-09,kg,False
Palladium II,3.0466236802427696e-10,kg,False
Vanadium V,3.11144554252539e-06,kg,False
Copper ion,3.5989373436305538e-06,kg,False
Antimony ion,6.576284603635836e-07,kg,False
Ammonium,0.000222440273362387,kg,False
Cobalt II,1.7735725232286546e-07,kg,False
Arsenic ion,1.791839269784458e-08,kg,False
Fluoride,3.3078744448429955e-05,kg,False
Barium II,2.64470030611229e-06,kg,False
Hydrogen fluoride,1.1811655383243736e-05,kg,False
Lead II,8.431431724710837e-06,kg,False
Hydrochloric acid,4.343420511034222e-05,kg,False
Boron,1.4531201742670384e-07,kg,False
Chromium III,3.5788894450965333e-06,kg,False
Sodium I,0.0015696728194380947,kg,False
"NMVOC, non-methane volatile organic compounds",0.007543609510249335,kg,False
t-Butyl methyl ether,7.265600871335173e-09,kg,False
Cyanide,3.401284751681309e-05,kg,False
"Heat, waste",0.5251736300273121,MJ,False
Nickel II,1.9136237530878147e-06,kg,False
Hydrogen sulfide,0.00023727952088172484,kg,False
Cobalt II,3.489803131125253e-09,kg,False
Mercury II,8.450590714502853e-08,kg,False
Benzene,1.7636761904346402e-05,kg,False
"Particulate Matter, < 2.5 um",0.001856696679715471,kg,False
"Carbon monoxide, fossil",0.01695392752234485,kg,False
Cadmium II,5.605608927525057e-08,kg,False
"Xylenes, unspecified",6.844101439282023e-06,kg,False
Dinitrogen monoxide,0.000620638629240389,kg,False
Toluene,2.918377167689864e-06,kg,False
"Particulate Matter, > 10 um",0.006872849237794517,kg,False
Thallium I,1.2359954929212947e-08,kg,False
Aluminium III,1.9220658286497555e-07,kg,False
Nitrate,2.7133866315831476e-05,kg,False
"Xylenes, unspecified",3.6403046229674314e-08,kg,False
Nitrite,4.001471037097556e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0005612117654737507,kg,False
Molybdenum VI,3.6328004356675944e-09,kg,False
"Heat, waste",0.08884386989203866,MJ,False
Water,0.1704055583038257,m3,False
Benzo(a)pyrene,1.144116721277982e-08,kg,False
"Water, cooling, unspecified natural origin",2.948042266595195,m3,True
Manganese II,1.1878981065902287e-06,kg,False
Zinc II,7.993331296202754e-07,kg,False
Iron ion,3.8829585378617125e-05,kg,False
Manganese II,3.9567030477318707e-07,kg,False
Toluene,4.3146712083824294e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.3495171958021328e-06,kg,False
Lead II,3.7146812053364477e-07,kg,False
Tin ion,3.664144620666932e-09,kg,False
Phenol,1.510689653957649e-06,kg,False
"Carbon dioxide, fossil",1.97043993709219,kg,False
"Methane, fossil",0.00023106824958598083,kg,False
Phosphorus,3.05239133980939e-07,kg,False
"Carbon dioxide, non-fossil",0.044451061132604074,kg,False
Sulfur dioxide,0.0027730314242214896,kg,False
"DOC, Dissolved Organic Carbon",0.00013720305803555108,kg,False
"COD, Chemical Oxygen Demand",0.0005860409679165597,kg,False
"Water, well, in ground",0.24130078099097368,m3,True
"DOC, Dissolved Organic Carbon",0.04859815930024025,kg,False
Chloride,0.016520532097818307,kg,False
"COD, Chemical Oxygen Demand",0.014863654508577585,kg,False
Phenol,9.581348325446696e-06,kg,False
Chlorine,7.31264201870703e-05,kg,False
"Water, river",0.3294903095308416,m3,True
Sodium I,0.09277995447571144,kg,False
"Carbon dioxide, fossil",4.480578405016836,kg,False
Phenol,6.174187465417501e-08,kg,False
"TOC, Total Organic Carbon",0.010429800916282633,kg,False
"BOD5, Biological Oxygen Demand",0.006321766894424383,kg,False
Hydrogen,0.0005583392026620273,kg,False
