Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.16063204278074547,mol H+-Eq,0.002890649071870077,mol H+-Eq/ref
Climate change,20.532105994175655,kg CO2-Eq,0.0027183741461705995,kg CO2-Eq/ref
Climate change: biogenic,0.03565999444560287,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,20.455748737759055,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.040697261970998926,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,394.22079362923495,CTUe,0.006950714404177854,CTUe/ref
"Ecotoxicity: freshwater, inorganics",386.9790235730967,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",7.241770056138258,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,276.05821721461047,"MJ, net calorific value",0.004246771190972909,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.020676906760802416,kg P-Eq,0.012867958663090132,kg P-Eq/ref
Eutrophication: marine,0.026761165534011883,kg N-Eq,0.0013691950348760963,kg N-Eq/ref
Eutrophication: terrestrial,0.28404828495959633,mol N-Eq,0.001607016974235522,mol N-Eq/ref
Human toxicity: carcinogenic,1.3577217013748482e-08,CTUh,0.000786952744973221,CTUh/ref
"Human toxicity: carcinogenic, inorganics",7.505740951450793e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.0714760622976815e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,6.376568725525617e-07,CTUh,0.004953213340111248,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",6.103637709375131e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",2.7293101615048703e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.1785999565207845,kBq U235-Eq,0.0005162359262399991,kBq U235-Eq/ref
Land use,82.66186712383191,dimensionless,0.00010086888396910429,dimensionless/ref
Material resources: metals/minerals,0.004932710752457747,kg Sb-Eq,0.07753077663434217,kg Sb-Eq/ref
Ozone depletion,6.804584273744091e-07,kg CFC-11-Eq,1.2998652267337639e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.1723603089711963e-06,disease incidence,0.001969138882355247,disease incidence/ref
Photochemical oxidant formation: human health,0.11588203272689464,kg NMVOC-Eq,0.002836130887655944,kg NMVOC-Eq/ref
Water use,7.352760974438256,m3 world Eq deprived,0.000641114985587275,m3 world Eq deprived/ref
