Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.24347957144725724,mol H+-Eq,0.004381529270495604,mol H+-Eq/ref
Climate change,3.7610142903996353,kg CO2-Eq,0.0004979442446527761,kg CO2-Eq/ref
Climate change: biogenic,0.013530451680345215,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,3.7412428639418946,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.006240974777395073,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,274.7483358438831,CTUe,0.004844232588273984,CTUe/ref
"Ecotoxicity: freshwater, inorganics",273.9240939700633,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.8242418738199009,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,56.53934884228361,"MJ, net calorific value",0.0008697791365982555,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.01946273463278235,kg P-Eq,0.012112337092901649,kg P-Eq/ref
Eutrophication: marine,0.012460077684012218,kg N-Eq,0.0006375012507372805,kg N-Eq/ref
Eutrophication: terrestrial,0.17168591275289657,mol N-Eq,0.0009713213937210311,mol N-Eq/ref
Human toxicity: carcinogenic,2.498790619693117e-08,CTUh,0.0014483307847916104,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.4250019864735054e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",7.378863321961149e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.53261734258264e-06,CTUh,0.019672953506265845,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.376624280271128e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.55993062311512e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.3448596356278449,kBq U235-Eq,8.171712887823637e-05,kBq U235-Eq/ref
Land use,79.9865980073787,dimensionless,9.76043628606058e-05,dimensionless/ref
Material resources: metals/minerals,0.0031003124244909624,kg Sb-Eq,0.04872972329871953,kg Sb-Eq/ref
Ozone depletion,6.785631623591812e-08,kg CFC-11-Eq,1.2962447423814052e-06,kg CFC-11-Eq/ref
Particulate matter formation,5.942672429684324e-07,disease incidence,0.0009981528082148195,disease incidence/ref
Photochemical oxidant formation: human health,0.050242035572328064,kg NMVOC-Eq,0.0012296383278088427,kg NMVOC-Eq/ref
Water use,2.781719136010414,m3 world Eq deprived,0.00024254859228949892,m3 world Eq deprived/ref
