Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,47.434815375519854,mol H+-Eq,0.853611786701444,mol H+-Eq/ref
Climate change,659.7355461998362,kg CO2-Eq,0.08734652220323186,kg CO2-Eq/ref
Climate change: biogenic,1.9106818231991949,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,656.6688697889888,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,1.1559945876484308,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,52800.74298510672,CTUe,0.9309577037761246,CTUe/ref
"Ecotoxicity: freshwater, inorganics",52656.089994076385,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",144.65299103028806,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,9428.100449064317,"MJ, net calorific value",0.14503819439491047,"MJ, net calorific value/ref"
Eutrophication: freshwater,3.8009159239817523,kg P-Eq,2.365442256788518,kg P-Eq/ref
Eutrophication: marine,2.3775610941167518,kg N-Eq,0.121644359661461,kg N-Eq/ref
Eutrophication: terrestrial,32.976898459866746,mol N-Eq,0.18656840540397968,mol N-Eq/ref
Human toxicity: carcinogenic,4.886322364977178e-06,CTUh,0.2832174512677393,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.7501366544622655e-06,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.3618571051491223e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0004961694833268013,CTUh,3.8541626532345363,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.00046561207503041424,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.055740829638671e-05,CTUh,0.0,CTUh/ref
Ionising radiation: human health,69.13604529141375,kBq U235-Eq,0.0163823148305672,kBq U235-Eq/ref
Land use,15452.113432832277,dimensionless,0.018855579860044467,dimensionless/ref
Material resources: metals/minerals,0.6076769071629935,kg Sb-Eq,9.55127209346855,kg Sb-Eq/ref
Ozone depletion,1.1988251587088029e-05,kg CFC-11-Eq,0.00022900901422471883,kg CFC-11-Eq/ref
Particulate matter formation,0.00011099184182467343,disease incidence,0.18642592186781168,disease incidence/ref
Photochemical oxidant formation: human health,9.55334895754487,kg NMVOC-Eq,0.23381146689844393,kg NMVOC-Eq/ref
Water use,532.9784217200054,m3 world Eq deprived,0.046472400550931194,m3 world Eq deprived/ref
