Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0016997794411279057,mol H+-Eq/ref
Climate change,0.0031219291766692433,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0008188127447857117,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.005305453688473881,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0010517246428022352,kg P-Eq/ref
Eutrophication: marine,0.0018572720599846974,kg N-Eq/ref
Eutrophication: terrestrial,0.002234602900460046,mol N-Eq/ref
Human toxicity: carcinogenic,0.0002168763100459643,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0016705087605660522,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,8.798458453879388e-05,kBq U235-Eq/ref
Land use,0.0004258241411098691,dimensionless/ref
Material resources: metals/minerals,0.001083691215650599,kg Sb-Eq/ref
Ozone depletion,1.0284609360404656e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0040939938511415815,disease incidence/ref
Photochemical oxidant formation: human health,0.0036853090773707182,kg NMVOC-Eq/ref
Water use,0.00017348727391317917,m3 world Eq deprived/ref
