Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.0009148055389512444,mol H+-Eq,1.6462355432536372e-05,mol H+-Eq/ref
Climate change,0.1558941676327087,kg CO2-Eq,2.0639805529532827e-05,kg CO2-Eq/ref
Climate change: biogenic,0.0004326547833906542,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,0.15516194516678117,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.00029956768253688886,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.6225221233346754,CTUe,1.0976015368816982e-05,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.6098984709390867,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.01262365239558873,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,2.0096955911655257,"MJ, net calorific value",3.0916367660782393e-05,"MJ, net calorific value/ref"
Eutrophication: freshwater,7.544670055311587e-05,kg P-Eq,4.6953107406978435e-05,kg P-Eq/ref
Eutrophication: marine,0.00017044286641946764,kg N-Eq,8.72045450094413e-06,kg N-Eq/ref
Eutrophication: terrestrial,0.002002155715305471,mol N-Eq,1.1327293245288277e-05,mol N-Eq/ref
Human toxicity: carcinogenic,5.730338687869441e-11,CTUh,3.321377094789538e-06,CTUh/ref
"Human toxicity: carcinogenic, inorganics",4.061818653379817e-11,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.6685200344896243e-11,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.736661985140204e-09,CTUh,3.6793608509975486e-05,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",4.655892249208037e-09,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",8.076973593216859e-11,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.01860215140062749,kBq U235-Eq,4.40792208299487e-06,kBq U235-Eq/ref
Land use,0.9415393109236709,dimensionless,1.1489217799016927e-06,dimensionless/ref
Material resources: metals/minerals,1.631729481898553e-06,kg Sb-Eq,2.564700432226109e-05,kg Sb-Eq/ref
Ozone depletion,1.0987935646020797e-09,kg CFC-11-Eq,2.099001920655467e-08,kg CFC-11-Eq/ref
Particulate matter formation,9.60005905470874e-09,disease incidence,1.612460726696095e-05,disease incidence/ref
Photochemical oxidant formation: human health,0.0005053572837570796,kg NMVOC-Eq,1.2368262516961554e-05,kg NMVOC-Eq/ref
Water use,0.039681780044939094,m3 world Eq deprived,3.460004198427269e-06,m3 world Eq deprived/ref
