Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.13801177673188214,mol H+-Eq,0.0024835867577286124,mol H+-Eq/ref
Climate change,8.440497141222853,kg CO2-Eq,0.0011174902962236659,kg CO2-Eq/ref
Climate change: biogenic,0.001364179218574723,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,8.435215703533636,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.003917258470642062,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,12.76489363660644,CTUe,0.00022506456153909699,CTUe/ref
"Ecotoxicity: freshwater, inorganics",11.64980973711913,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",1.1150838994873153,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,105.25731042069576,"MJ, net calorific value",0.0016192371234013952,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0003676570077360445,kg P-Eq,0.00022880575090232852,kg P-Eq/ref
Eutrophication: marine,0.05706200146076483,kg N-Eq,0.0029194920146835284,kg N-Eq/ref
Eutrophication: terrestrial,0.6306235315095222,mol N-Eq,0.0035677832718909158,mol N-Eq/ref
Human toxicity: carcinogenic,1.426686546366387e-09,CTUh,8.269256451763976e-05,CTUh/ref
"Human toxicity: carcinogenic, inorganics",9.678716394193886e-10,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",4.5881490694699893e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.8784055722061216e-08,CTUh,0.00022358979401302832,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.6704820791478917e-08,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",2.0792349305823073e-09,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.07041713871046047,kBq U235-Eq,1.668587971672359e-05,kBq U235-Eq/ref
Land use,21.64313088521057,dimensionless,2.6410224374898452e-05,dimensionless/ref
Material resources: metals/minerals,1.1330835680764072e-05,kg Sb-Eq,0.00017809446657865403,kg Sb-Eq/ref
Ozone depletion,1.28492980050921e-07,kg CFC-11-Eq,2.454574003764758e-06,kg CFC-11-Eq/ref
Particulate matter formation,2.722517223928032e-07,disease incidence,0.00045728386422627253,disease incidence/ref
Photochemical oxidant formation: human health,0.16858377701814878,kg NMVOC-Eq,0.004125968848731695,kg NMVOC-Eq/ref
Water use,0.3285387408063804,m3 world Eq deprived,2.864653302469635e-05,m3 world Eq deprived/ref
