Impact category,Amount (Normalized),Normalized Unit
Acidification,0.10913719600921906,mol H+-Eq/ref
Climate change,0.03567600507003208,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.12067064559726057,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.05037532726372598,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.3233616255769174,kg P-Eq/ref
Eutrophication: marine,0.022721090429603005,kg N-Eq/ref
Eutrophication: terrestrial,0.03088583431099106,mol N-Eq/ref
Human toxicity: carcinogenic,0.0429633104330807,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.4469721946114607,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00498534920847129,kBq U235-Eq/ref
Land use,0.0030037331170115656,dimensionless/ref
Material resources: metals/minerals,1.0901501279806929,kg Sb-Eq/ref
Ozone depletion,5.583381833287206e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0698811514632994,disease incidence/ref
Photochemical oxidant formation: human health,0.04084154503278854,kg NMVOC-Eq/ref
Water use,0.011448194399459238,m3 world Eq deprived/ref
