Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.25222954685927035,mol H+-Eq,0.004538989188615088,mol H+-Eq/ref
Climate change,35.46517134396801,kg CO2-Eq,0.0046954562234532106,kg CO2-Eq/ref
Climate change: biogenic,0.007351384228200514,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,35.44329386487357,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.014526094866244474,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,66.50855655605537,CTUe,0.001172647383207361,CTUe/ref
"Ecotoxicity: freshwater, inorganics",62.56556756101406,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",3.94298899504135,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,498.30764130328345,"MJ, net calorific value",0.007665769042054242,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0025072495490995146,kg P-Eq,0.0015603486502645464,kg P-Eq/ref
Eutrophication: marine,0.10145007941253775,kg N-Eq,0.005190541676628108,kg N-Eq/ref
Eutrophication: terrestrial,1.1134711549594885,mol N-Eq,0.00629951716341485,mol N-Eq/ref
Human toxicity: carcinogenic,5.747780530593163e-09,CTUh,0.00033314866083923074,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.728801623470649e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.0189789071225147e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.6935386398142097e-07,CTUh,0.002092296358294657,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.516134454474473e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.7740418533973653e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.590682026999484,kBq U235-Eq,0.00013996662508355726,kBq U235-Eq/ref
Land use,412.5456546327146,dimensionless,0.0005034125312795915,dimensionless/ref
Material resources: metals/minerals,8.920459633558953e-05,kg Sb-Eq,0.0014020894352674681,kg Sb-Eq/ref
Ozone depletion,7.385526070565732e-07,kg CFC-11-Eq,1.4108412996378002e-05,kg CFC-11-Eq/ref
Particulate matter formation,2.9967187514822387e-06,disease incidence,0.005033397469934073,disease incidence/ref
Photochemical oxidant formation: human health,0.34746175293375237,kg NMVOC-Eq,0.008503880943277453,kg NMVOC-Eq/ref
Water use,2.713737066708912,m3 world Eq deprived,0.0002366209790389192,m3 world Eq deprived/ref
