Flow,Amount,Unit,Is input
Water,36.732773263929516,m3,False
"Transformation, to industrial area",0.009317464560191571,m2,True
"Transformation, to lake, artificial",0.027854458202307256,m2,True
"Water, turbine use, unspecified natural origin",62371.820553935686,m3,True
"Transformation, from forest, unspecified",0.002224484637651999,m2,True
"Energy, potential (in hydropower reservoir), converted",9591.723857377106,MJ,True
"Carbon dioxide, from soil or biomass stock",0.03470792482271666,kg,False
Water,62399.38867912984,m3,False
"Methane, non-fossil",0.026499143357410257,kg,False
"Volume occupied, reservoir",175.1589270162139,m3*a,True
"Occupation, lake, artificial",4.110131478615676,m2*a,True
Water,10.411672078658233,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0018246061142565566,kg,False
"Hydrocarbons, unspecified",1.8658984272302e-05,kg,False
Cadmium II,2.563593393617674e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.641736900262476e-11,kg,False
Selenium IV,2.4408758613806244e-07,kg,False
Chromium VI,3.184240979336112e-07,kg,False
Vanadium V,1.682440825033957e-08,kg,False
Copper ion,2.7095845490950304e-05,kg,False
"TOC, Total Organic Carbon",0.0001510026792408809,kg,False
Ammonia,0.001787381395923231,kg,False
Arsenic ion,3.7100360056890487e-07,kg,False
Chromium III,2.0978619296981327e-06,kg,False
Zinc II,2.069870486905263e-05,kg,False
Nitrogen,5.027696047712718e-06,kg,False
"Water, unspecified natural origin",0.2294236900574492,m3,True
"AOX, Adsorbable Organic Halides",4.0710899890747967e-07,kg,False
Benzene,2.8452871276334435e-06,kg,False
Rhodium III,7.446661121009207e-10,kg,False
Mercury II,9.981512351269698e-08,kg,False
Chloride,0.007410669127273938,kg,False
Tin ion,3.492695130597123e-06,kg,False
Formaldehyde,3.7241862715056286e-05,kg,False
Nickel II,3.901291025854083e-06,kg,False
Sulfate,0.0017400255010899097,kg,False
Sulfide,3.818709518765419e-06,kg,False
Selenium IV,3.444062689781664e-08,kg,False
"Suspended solids, unspecified",0.0005197655528653084,kg,False
Nitrogen oxides,0.05408321683361346,kg,False
Tellurium,1.341250631569677e-09,kg,False
Platinum,7.446661121009207e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",5.683889362014992e-09,kg,False
Beryllium II,1.7014535095029233e-08,kg,False
Palladium II,7.454891238884862e-10,kg,False
Vanadium V,7.823281701220921e-06,kg,False
Copper ion,3.241213747248408e-06,kg,False
Antimony ion,4.2873672745584695e-06,kg,False
Ammonium,1.4772597281982662e-05,kg,False
Cobalt II,2.9589900339096725e-07,kg,False
Arsenic ion,2.0066158447447842e-07,kg,False
Fluoride,5.273684680841484e-05,kg,False
