Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.23298121950702858,mol H+-Eq,0.0041926064953951864,mol H+-Eq/ref
Climate change,14.432127446926472,kg CO2-Eq,0.0019107597699472693,kg CO2-Eq/ref
Climate change: biogenic,0.030136711065244307,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,14.370585649850351,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.031405086010876146,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,329.88419415674025,CTUe,0.0058163619400359735,CTUe/ref
"Ecotoxicity: freshwater, inorganics",311.2051128596664,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",18.67908129707358,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,194.0776900296537,"MJ, net calorific value",0.00298561495884674,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.019970045534337556,kg P-Eq,0.012428054322082308,kg P-Eq/ref
Eutrophication: marine,0.022461533543849336,kg N-Eq,0.0011492107907204031,kg N-Eq/ref
Eutrophication: terrestrial,0.2574922232116218,mol N-Eq,0.0014567747645213812,mol N-Eq/ref
Human toxicity: carcinogenic,2.2389901737353925e-08,CTUh,0.001297747146123488,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.700514156515726e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",5.384760172196668e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.6973548333421742e-06,CTUh,0.0131847721953624,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.5948159346642472e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.0253889867792669e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.4494757240246772,kBq U235-Eq,0.0003434643614650847,kBq U235-Eq/ref
Land use,90.88654763333489,dimensionless,0.00011090512405007418,dimensionless/ref
Material resources: metals/minerals,0.0036396296823879987,kg Sb-Eq,0.057206540196249385,kg Sb-Eq/ref
Ozone depletion,3.140991071172719e-07,kg CFC-11-Eq,6.00016827868918e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.0468907716408202e-06,disease incidence,0.0017583956981841794,disease incidence/ref
Photochemical oxidant formation: human health,0.09055118438518922,kg NMVOC-Eq,0.002216176269136678,kg NMVOC-Eq/ref
Water use,6.311732818176546,m3 world Eq deprived,0.0005503438108247683,m3 world Eq deprived/ref
