Flow,Amount,Unit,Is input
Water,0.1378205384773284,m3,False
"Transformation, to industrial area",0.0010904759761180588,m2,True
"Transformation, to lake, artificial",0.0006287396328264972,m2,True
"Water, turbine use, unspecified natural origin",104.41714369715194,m3,True
"Transformation, from forest, unspecified",0.0008044213039955675,m2,True
"Energy, potential (in hydropower reservoir), converted",14.570789625360087,MJ,True
"Carbon dioxide, from soil or biomass stock",0.031959792968152885,kg,False
Water,105.29165625883513,m3,False
"Methane, non-fossil",0.0010964172538601312,kg,False
"Volume occupied, reservoir",0.7707429940828491,m3*a,True
"Occupation, lake, artificial",0.08498427640925216,m2*a,True
Water,1.7256456870842911,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00031480377900632754,kg,False
"Hydrocarbons, unspecified",6.127020740039798e-06,kg,False
Cadmium II,1.5131941104469651e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.8191552142515286e-12,kg,False
Selenium IV,4.127910130766646e-08,kg,False
Chromium VI,1.594282429632216e-08,kg,False
Vanadium V,3.91817828726116e-09,kg,False
Copper ion,7.680137914214008e-06,kg,False
"TOC, Total Organic Carbon",0.000548296523062479,kg,False
Ammonia,0.0028722306596412057,kg,False
Arsenic ion,2.640663565477794e-07,kg,False
Chromium III,7.638500605935814e-07,kg,False
Zinc II,1.0590110054691689e-05,kg,False
Nitrogen,1.9022164110344743e-06,kg,False
"Water, unspecified natural origin",0.03622341533059687,m3,True
"AOX, Adsorbable Organic Halides",2.6771863105819913e-07,kg,False
Benzene,1.642981941574156e-05,kg,False
Rhodium III,1.7127375592824913e-10,kg,False
Mercury II,8.365219644410433e-09,kg,False
Chloride,0.03407823076369698,kg,False
Tin ion,5.140530429339265e-07,kg,False
Formaldehyde,8.973261485008314e-06,kg,False
Nickel II,8.654750422831726e-07,kg,False
Sulfate,0.0016289198152710787,kg,False
Sulfide,1.0141267991584987e-05,kg,False
Selenium IV,7.937929635657303e-09,kg,False
"Suspended solids, unspecified",6.637846688399734e-05,kg,False
Nitrogen oxides,0.021336730886956687,kg,False
Tellurium,2.617539965067043e-10,kg,False
Platinum,1.7127375592824913e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",4.699547532257362e-10,kg,False
Beryllium II,1.8866915745394617e-09,kg,False
Palladium II,1.7396418833001105e-10,kg,False
Vanadium V,1.750146249315034e-06,kg,False
Copper ion,1.7569882419172637e-06,kg,False
Antimony ion,6.404462231376315e-07,kg,False
Ammonium,0.00011393897513410159,kg,False
Cobalt II,1.5310729241843266e-07,kg,False
Arsenic ion,1.0215798516952973e-08,kg,False
Fluoride,6.757080401630463e-06,kg,False
Barium II,1.970237713163675e-06,kg,False
Hydrogen fluoride,9.89146048816311e-06,kg,False
Lead II,3.798335504444122e-06,kg,False
Hydrochloric acid,6.183289731021493e-05,kg,False
Boron,7.8174097746033e-08,kg,False
Chromium III,2.907248601183949e-05,kg,False
Sodium I,0.017726995628862863,kg,False
"NMVOC, non-methane volatile organic compounds",0.003809951267633742,kg,False
t-Butyl methyl ether,3.908704887301645e-09,kg,False
Cyanide,5.654344051367019e-06,kg,False
"Heat, waste",0.31088818544505864,MJ,False
Nickel II,2.142460216605739e-06,kg,False
Hydrogen sulfide,0.0002523094918440483,kg,False
Cobalt II,6.081556742442403e-09,kg,False
Mercury II,5.201430083223926e-08,kg,False
Benzene,5.3149304702678266e-05,kg,False
"Particulate Matter, < 2.5 um",0.0006962393454248007,kg,False
"Carbon monoxide, fossil",0.008375393627122231,kg,False
Cadmium II,3.587207286368594e-08,kg,False
"Xylenes, unspecified",4.149395992842951e-06,kg,False
Dinitrogen monoxide,0.00021400136751514073,kg,False
Toluene,2.406445691790954e-06,kg,False
"Particulate Matter, > 10 um",0.0021041342117829594,kg,False
Thallium I,8.568053434805935e-09,kg,False
Aluminium III,1.2799163723144535e-07,kg,False
Nitrate,2.182777177384978e-05,kg,False
"Xylenes, unspecified",1.0985198883323013e-07,kg,False
Nitrite,1.6827089325775576e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0018072348346019934,kg,False
Molybdenum VI,1.954352443650825e-09,kg,False
"Heat, waste",0.050569854342166924,MJ,False
Water,0.060963967580246366,m3,False
Benzo(a)pyrene,1.1453070411869826e-08,kg,False
"Water, cooling, unspecified natural origin",0.9487655274706485,m3,True
Manganese II,5.856206760677382e-07,kg,False
Zinc II,1.1208744031201484e-06,kg,False
Iron ion,4.562008975332304e-05,kg,False
Manganese II,1.6950304094541357e-07,kg,False
Toluene,6.77811411121311e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.098963007864147e-07,kg,False
Lead II,7.359868424758107e-07,kg,False
Tin ion,2.006839651371672e-09,kg,False
Phenol,1.5905053258820942e-05,kg,False
"Carbon dioxide, fossil",1.2003218915073872,kg,False
"Methane, fossil",5.397521401794579e-05,kg,False
Phosphorus,2.6076760359412115e-07,kg,False
"Carbon dioxide, non-fossil",0.018677891827156907,kg,False
Sulfur dioxide,0.001903075945153563,kg,False
"DOC, Dissolved Organic Carbon",0.00054836642106864,kg,False
"COD, Chemical Oxygen Demand",0.0018260932363198437,kg,False
"Water, well, in ground",0.03344011755251726,m3,True
"DOC, Dissolved Organic Carbon",0.020746198590817937,kg,False
Chloride,0.0493283420043256,kg,False
"COD, Chemical Oxygen Demand",0.014223244777181971,kg,False
Phenol,7.761728848189263e-05,kg,False
Chlorine,6.824307846148381e-05,kg,False
"Water, river",0.09285237861342131,m3,True
Sodium I,0.0905072863847404,kg,False
"Carbon dioxide, fossil",2.2704434808263474,kg,False
Phenol,4.058261109213042e-06,kg,False
"TOC, Total Organic Carbon",0.0066446268562200435,kg,False
"BOD5, Biological Oxygen Demand",0.00403341177150565,kg,False
Hydrogen,0.0023596222753000298,kg,False
Ammonia,5.522495953185675e-05,kg,False
Benzene,3.314141689610597e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.007067445145312005,kg,False
