Impact category,Amount (Normalized),Normalized Unit
Acidification,0.008094735042613599,mol H+-Eq/ref
Climate change,0.006258928862303004,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.011170739966255894,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.00963530503515927,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.02514438947027989,kg P-Eq/ref
Eutrophication: marine,0.0030381658331961347,kg N-Eq/ref
Eutrophication: terrestrial,0.0035785046728612825,mol N-Eq/ref
Human toxicity: carcinogenic,0.001931974620188476,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.015091897720666454,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.001170319118809275,kBq U235-Eq/ref
Land use,0.00021645669371725816,dimensionless/ref
Material resources: metals/minerals,0.11207349849914958,kg Sb-Eq/ref
Ozone depletion,2.6154904136930574e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0047922527656583174,disease incidence/ref
Photochemical oxidant formation: human health,0.007245135819088808,kg NMVOC-Eq/ref
Water use,0.0015753222203519434,m3 world Eq deprived/ref
