Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,3.9300420490043666,mol H+-Eq,0.07072295293455974,mol H+-Eq/ref
Climate change,408.84663004771363,kg CO2-Eq,0.05412976677531038,kg CO2-Eq/ref
Climate change: biogenic,2.678932350060969,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,405.4218025584592,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.7458951391934288,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,5471.50063212936,CTUe,0.09647090886833792,CTUe/ref
"Ecotoxicity: freshwater, inorganics",5204.187297692184,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",267.3133344371799,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,10238.393357783676,"MJ, net calorific value",0.15750342225778494,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.35380193813935157,kg P-Eq,0.2201832589161257,kg P-Eq/ref
Eutrophication: marine,0.5808907142817743,kg N-Eq,0.02972040514414021,kg N-Eq/ref
Eutrophication: terrestrial,6.125931000118756,mol N-Eq,0.03465775229583495,mol N-Eq/ref
Human toxicity: carcinogenic,3.3963413042407417e-07,CTUh,0.01968562562955064,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.043289977637774e-07,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.353051326602966e-07,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.868921914039281e-05,CTUh,0.14517476960906667,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.7661651355729945e-05,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.0275677846628706e-06,CTUh,0.0,CTUh/ref
Ionising radiation: human health,390.97946654308174,kBq U235-Eq,0.09264557563565845,kBq U235-Eq/ref
Land use,4595.352703833815,dimensionless,0.00560752030904084,dimensionless/ref
Material resources: metals/minerals,0.0565019096557991,kg Sb-Eq,0.8880790212065176,kg Sb-Eq/ref
Ozone depletion,3.242065402753948e-05,kg CFC-11-Eq,0.0006193248419447739,kg CFC-11-Eq/ref
Particulate matter formation,3.4877676401768565e-05,disease incidence,0.058581809878223964,disease incidence/ref
Photochemical oxidant formation: human health,2.166781433962146,kg NMVOC-Eq,0.05303044490203568,kg NMVOC-Eq/ref
Water use,1941.0713358457624,m3 world Eq deprived,0.16924933719876611,m3 world Eq deprived/ref
