Impact category,Amount (Normalized),Normalized Unit
Acidification,0.07072295293455974,mol H+-Eq/ref
Climate change,0.05412976677531038,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.09647090886833792,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.15750342225778494,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.2201832589161257,kg P-Eq/ref
Eutrophication: marine,0.02972040514414021,kg N-Eq/ref
Eutrophication: terrestrial,0.03465775229583495,mol N-Eq/ref
Human toxicity: carcinogenic,0.01968562562955064,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.14517476960906667,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.09264557563565845,kBq U235-Eq/ref
Land use,0.00560752030904084,dimensionless/ref
Material resources: metals/minerals,0.8880790212065176,kg Sb-Eq/ref
Ozone depletion,0.0006193248419447739,kg CFC-11-Eq/ref
Particulate matter formation,0.058581809878223964,disease incidence/ref
Photochemical oxidant formation: human health,0.05303044490203568,kg NMVOC-Eq/ref
Water use,0.16924933719876611,m3 world Eq deprived/ref
