Flow,Amount,Unit,Is input
Water,45.01107537842918,m3,False
"Transformation, to industrial area",0.03299833348373926,m2,True
"Transformation, to lake, artificial",0.05048500122162494,m2,True
"Water, turbine use, unspecified natural origin",72517.01140886522,m3,True
"Transformation, from forest, unspecified",0.01929237591538138,m2,True
"Energy, potential (in hydropower reservoir), converted",11437.261515801167,MJ,True
"Carbon dioxide, from soil or biomass stock",0.7528154778047347,kg,False
Water,72526.79256850993,m3,False
"Methane, non-fossil",0.0982801675947408,kg,False
"Volume occupied, reservoir",228.0957360975468,m3*a,True
"Occupation, lake, artificial",7.124748836708153,m2*a,True
Water,42.52638917623454,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.015852050604876853,kg,False
"Hydrocarbons, unspecified",0.0003027559973135629,kg,False
Cadmium II,4.799032759199293e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.114366465406061e-09,kg,False
Selenium IV,1.081420882232017e-06,kg,False
Chromium VI,6.724993100617582e-07,kg,False
Vanadium V,1.1791083834219452e-07,kg,False
Copper ion,0.00018262727754343004,kg,False
"TOC, Total Organic Carbon",0.010273448187927255,kg,False
Ammonia,0.03836384233520399,kg,False
Arsenic ion,5.28877977785051e-06,kg,False
Chromium III,1.2429344752748783e-05,kg,False
Zinc II,0.0001713222752398131,kg,False
Nitrogen,4.37043975212146e-05,kg,False
"Water, unspecified natural origin",1.2540672850685264,m3,True
"AOX, Adsorbable Organic Halides",8.546814879648865e-06,kg,False
Benzene,0.00016874689494867224,kg,False
Rhodium III,4.7632699625789854e-09,kg,False
Mercury II,2.455046896928042e-07,kg,False
Chloride,0.26019944131193606,kg,False
Tin ion,1.4525324758442581e-05,kg,False
Formaldehyde,0.00017692860130377196,kg,False
Nickel II,1.6352724296539363e-05,kg,False
Sulfate,0.03314343656436987,kg,False
Sulfide,0.0001564943281939661,kg,False
Selenium IV,2.594835113173233e-07,kg,False
"Suspended solids, unspecified",0.0033148472100336087,kg,False
Nitrogen oxides,0.38322073405562185,kg,False
Tellurium,7.676346746195422e-09,kg,False
Platinum,4.7632699625789854e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.6184966052963712e-07,kg,False
Beryllium II,5.727399237691062e-08,kg,False
Palladium II,4.813364758745971e-09,kg,False
Vanadium V,4.78179427296989e-05,kg,False
Copper ion,3.856704312087032e-05,kg,False
Antimony ion,1.863373864144475e-05,kg,False
Ammonium,0.0010087879189405312,kg,False
Cobalt II,2.8531247966842307e-06,kg,False
Arsenic ion,4.4231681133025664e-07,kg,False
Fluoride,0.001862413910092862,kg,False
Barium II,2.910068088921759e-05,kg,False
Hydrogen fluoride,0.0028148146398346507,kg,False
Lead II,9.224632318400977e-05,kg,False
Hydrochloric acid,0.0021311648671168463,kg,False
Boron,2.3443254938281875e-06,kg,False
Chromium III,0.0003218068357293199,kg,False
Sodium I,0.15315041543791066,kg,False
"NMVOC, non-methane volatile organic compounds",0.06270411255976009,kg,False
t-Butyl methyl ether,1.1721627469140929e-07,kg,False
Cyanide,8.782810856427222e-05,kg,False
"Heat, waste",9.806363446924882,MJ,False
Nickel II,4.443732798943286e-05,kg,False
Hydrogen sulfide,0.003634765736760413,kg,False
Cobalt II,1.9070999749640308e-07,kg,False
Mercury II,2.9369469007959065e-06,kg,False
Benzene,0.0006877001185707803,kg,False
"Particulate Matter, < 2.5 um",0.04734363775033078,kg,False
"Carbon monoxide, fossil",0.24118392017257928,kg,False
Cadmium II,1.312864280929855e-06,kg,False
"Xylenes, unspecified",0.00011316520551203064,kg,False
Dinitrogen monoxide,0.021663207096235655,kg,False
Toluene,5.3042932116262246e-05,kg,False
"Particulate Matter, > 10 um",0.06506659259224394,kg,False
Thallium I,3.1007789657278753e-07,kg,False
Aluminium III,4.141024796669258e-06,kg,False
Nitrate,0.00019699282548831323,kg,False
"Xylenes, unspecified",1.8614872191120934e-06,kg,False
Nitrite,4.991773969082827e-07,kg,False
"BOD5, Biological Oxygen Demand",0.03413747838416871,kg,False
Molybdenum VI,5.860813734570471e-08,kg,False
"Heat, waste",1.486088821200087,MJ,False
Water,1.4483860519690122,m3,False
Benzo(a)pyrene,4.7681826228423064e-07,kg,False
"Water, cooling, unspecified natural origin",51.71860319193726,m3,True
Manganese II,2.1546258995960187e-05,kg,False
Zinc II,2.1723186745375083e-05,kg,False
Iron ion,0.0007315538111183972,kg,False
Manganese II,6.0970437544581495e-06,kg,False
Toluene,9.756500919090942e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00018969119971036036,kg,False
Lead II,1.1766196912954545e-05,kg,False
Tin ion,5.9125150149421505e-08,kg,False
Phenol,0.00013437530605172452,kg,False
"Carbon dioxide, fossil",48.41283500279526,kg,False
"Methane, fossil",0.008997431341439979,kg,False
