Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.07587753679362544,mol H+-Eq,0.001365451920496725,mol H+-Eq/ref
Climate change,2.0732423571974854,kg CO2-Eq,0.0002744895445284647,kg CO2-Eq/ref
Climate change: biogenic,0.0052366811217139765,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,2.0594846336888066,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.008521042386964623,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,86.35256137613891,CTUe,0.0015225274817930606,CTUe/ref
"Ecotoxicity: freshwater, inorganics",83.43789238160832,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",2.9146689945305027,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,22.50973174926585,"MJ, net calorific value",0.00034628087246899427,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.006137806315917693,kg P-Eq,0.0038197704748085524,kg P-Eq/ref
Eutrophication: marine,0.004928334886703056,kg N-Eq,0.00025215088814066586,kg N-Eq/ref
Eutrophication: terrestrial,0.06354936094581715,mol N-Eq,0.0003595335974525409,mol N-Eq/ref
Human toxicity: carcinogenic,7.704414416607893e-09,CTUh,0.0004465576463439708,CTUh/ref
"Human toxicity: carcinogenic, inorganics",7.08104223171934e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.233721848885502e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,7.388137688085563e-07,CTUh,0.005738983414185279,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",6.933463602945932e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",4.5467408513962536e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.16059099496057336,kBq U235-Eq,3.805326479564891e-05,kBq U235-Eq/ref
Land use,27.43631811932764,dimensionless,3.347941300154851e-05,dimensionless/ref
Material resources: metals/minerals,0.0008984929615482617,kg Sb-Eq,0.0141222262170183,kg Sb-Eq/ref
Ozone depletion,5.935060190870172e-06,kg CFC-11-Eq,0.00011337618949701222,kg CFC-11-Eq/ref
Particulate matter formation,2.344335955863192e-07,disease incidence,0.0003937631672335202,disease incidence/ref
Photochemical oxidant formation: human health,0.019232027754788016,kg NMVOC-Eq,0.0004706902930858896,kg NMVOC-Eq/ref
Water use,0.9391415735322266,m3 world Eq deprived,8.188729899866273e-05,m3 world Eq deprived/ref
