Flow,Amount,Unit,Is input
Water,0.01989468460086843,m3,False
"Transformation, to industrial area",0.0002055126658438634,m2,True
"Transformation, to lake, artificial",6.802810362093697e-05,m2,True
"Water, turbine use, unspecified natural origin",25.944104161037092,m3,True
"Transformation, from forest, unspecified",9.730908377993461e-05,m2,True
"Energy, potential (in hydropower reservoir), converted",3.6153840019306327,MJ,True
"Carbon dioxide, from soil or biomass stock",0.008656992860279503,kg,False
Water,26.022123910778898,m3,False
"Methane, non-fossil",0.00018925848537529043,kg,False
"Volume occupied, reservoir",0.10478931688411357,m3*a,True
"Occupation, lake, artificial",0.008970950899381328,m2*a,True
Water,0.18774577115603747,m3,False
"Particulate Matter, > 2.5 um and < 10um",8.375179751374575e-05,kg,False
"Hydrocarbons, unspecified",1.1018719407054777e-06,kg,False
Cadmium II,1.1346291385658951e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",5.601090022968113e-13,kg,False
Selenium IV,1.0492533926499195e-08,kg,False
Chromium VI,2.593279331496685e-09,kg,False
Vanadium V,6.851928744824374e-10,kg,False
Copper ion,2.1637533707996757e-06,kg,False
"TOC, Total Organic Carbon",3.673353021549035e-05,kg,False
Ammonia,0.0010183851364912841,kg,False
Arsenic ion,7.28462273511981e-08,kg,False
Chromium III,1.35317868504765e-07,kg,False
Zinc II,1.0427155904176192e-06,kg,False
Nitrogen,2.2480662531688405e-07,kg,False
"Water, unspecified natural origin",0.0022601289686027624,m3,True
"AOX, Adsorbable Organic Halides",3.4266010300223166e-08,kg,False
Benzene,7.665438590736991e-06,kg,False
Rhodium III,3.0889458864025525e-11,kg,False
Mercury II,1.2524952341979803e-09,kg,False
Chloride,0.00023664273918188754,kg,False
Tin ion,1.4899804717450534e-07,kg,False
Formaldehyde,1.7632114628154505e-06,kg,False
Nickel II,1.5236935837625887e-07,kg,False
Sulfate,0.0001459485429764141,kg,False
Sulfide,1.1569930694853974e-06,kg,False
Selenium IV,1.3967351692084449e-09,kg,False
"Suspended solids, unspecified",1.1711739857253445e-05,kg,False
Nitrogen oxides,0.007101623370719996,kg,False
Tellurium,4.6859657348300355e-11,kg,False
Platinum,3.0889458864025525e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",8.696134705620139e-11,kg,False
Beryllium II,4.632854178981471e-10,kg,False
Palladium II,3.091596963038606e-11,kg,False
Vanadium V,3.1850144556770763e-07,kg,False
Copper ion,2.868517323328401e-07,kg,False
Antimony ion,1.9013607602632347e-07,kg,False
Ammonium,2.7587053916050823e-06,kg,False
Cobalt II,4.7258810693847904e-08,kg,False
Arsenic ion,1.4686927559145292e-09,kg,False
Fluoride,6.239907891528369e-05,kg,False
Barium II,9.007647069494527e-08,kg,False
Hydrogen fluoride,2.2041711896498017e-06,kg,False
Lead II,8.526809462820313e-07,kg,False
Hydrochloric acid,6.75423263390068e-06,kg,False
Boron,1.3645692036712563e-08,kg,False
Chromium III,1.2491456334916502e-05,kg,False
Sodium I,6.146969407646483e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.001293791566846242,kg,False
t-Butyl methyl ether,6.822846018356267e-10,kg,False
Cyanide,2.2299462573803678e-07,kg,False
"Heat, waste",0.061452785002926856,MJ,False
Nickel II,6.877539389379836e-07,kg,False
Hydrogen sulfide,1.247678546718767e-05,kg,False
Cobalt II,5.288654890697784e-10,kg,False
Mercury II,1.4086836107444792e-08,kg,False
Benzene,2.0607435983641402e-05,kg,False
"Particulate Matter, < 2.5 um",0.00019559976842239022,kg,False
"Carbon monoxide, fossil",0.00218248840371976,kg,False
Cadmium II,6.454468145767343e-09,kg,False
"Xylenes, unspecified",7.303343366295282e-07,kg,False
Dinitrogen monoxide,3.635516700099798e-05,kg,False
Toluene,3.995641037936679e-07,kg,False
"Particulate Matter, > 10 um",0.00035717314105836645,kg,False
Thallium I,2.168809766798607e-09,kg,False
Aluminium III,1.7361539576074792e-08,kg,False
Nitrate,4.608415290449214e-07,kg,False
"Xylenes, unspecified",8.419596546873636e-09,kg,False
Nitrite,2.5255008909515402e-09,kg,False
"BOD5, Biological Oxygen Demand",0.00010041355455514437,kg,False
Molybdenum VI,3.4114230091781374e-10,kg,False
"Heat, waste",0.009339570284452947,MJ,False
Water,0.008530032896939621,m3,False
Benzo(a)pyrene,9.53943308469844e-09,kg,False
"Water, cooling, unspecified natural origin",0.09011464441494696,m3,True
Manganese II,1.3186727451011944e-07,kg,False
Zinc II,1.6133343890754184e-07,kg,False
Iron ion,7.51953158120436e-06,kg,False
Manganese II,2.5730291618907757e-08,kg,False
Toluene,5.6893943937274386e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.759274815745302e-07,kg,False
Lead II,1.2996787035553665e-07,kg,False
Tin ion,3.4254336171022183e-10,kg,False
Phenol,3.9179962808346516e-08,kg,False
"Carbon dioxide, fossil",0.2657692706078127,kg,False
"Methane, fossil",8.787042260220924e-06,kg,False
Phosphorus,2.922316178014836e-08,kg,False
"Carbon dioxide, non-fossil",0.003946758351654204,kg,False
Sulfur dioxide,0.0004212587887732307,kg,False
"DOC, Dissolved Organic Carbon",3.671267658552919e-05,kg,False
"COD, Chemical Oxygen Demand",0.00010309723077001759,kg,False
"Water, well, in ground",0.0036698324647012693,m3,True
"DOC, Dissolved Organic Carbon",0.0022772392335845865,kg,False
Chloride,0.003576778687076033,kg,False
"COD, Chemical Oxygen Demand",0.0011892692989820272,kg,False
Phenol,2.9295161485662365e-07,kg,False
Chlorine,5.822790714068811e-06,kg,False
"Water, river",0.020636019716618784,m3,True
Sodium I,0.006703315503573862,kg,False
"Carbon dioxide, fossil",0.4533203814484215,kg,False
Phenol,5.2074301158286794e-08,kg,False
"TOC, Total Organic Carbon",0.000611365910995674,kg,False
"BOD5, Biological Oxygen Demand",0.0007862168993201609,kg,False
Hydrogen,0.0007698520379643524,kg,False
Ammonia,1.3647734176413267e-05,kg,False
Benzene,3.4894745050848807e-06,kg,False
"NMVOC, non-methane volatile organic compounds",0.0011763152232099764,kg,False
Nickel II,0.0001339461555920443,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.497951744376608e-07,kg,False
"Carbon dioxide, fossil",0.9448145985351876,kg,False
Selenium IV,4.6402808613205874e-07,kg,False
Lead II,1.3814362971476285e-08,kg,False
"Methane, fossil",0.004019315447284535,kg,False
Sulfur dioxide,0.04635033427792058,kg,False
Cadmium II,3.198907150374356e-09,kg,False
Benzo(a)pyrene,1.3031997873873429e-08,kg,False
Dinitrogen monoxide,1.992459508126959e-05,kg,False
Copper ion,1.849633480987926e-05,kg,False
"Carbon monoxide, fossil",0.0006125319188006101,kg,False
Zinc II,2.2325082230218605e-07,kg,False
"Particulate Matter, < 2.5 um",0.003340089261530893,kg,False
Cadmium II,2.3937555390777352e-05,kg,False
Chromium III,1.4924963362233456e-05,kg,False
Nitrogen oxides,0.003504799786813677,kg,False
Zinc II,6.305552665387165e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.9818281891115525e-13,kg,False
Dinitrogen monoxide,7.861663986446826e-05,kg,False
"Carbon monoxide, fossil",0.0055950470126600385,kg,False
Sulfur dioxide,0.002147123242385586,kg,False
"NMVOC, non-methane volatile organic compounds",8.318626768092471e-05,kg,False
"Methane, fossil",0.0001782737379672167,kg,False
Nitrogen oxides,0.0009142972295882891,kg,False
Oxygen,0.1520606087811255,kg,True
"Heat, waste",0.231568651038859,MJ,False
Mercury II,1.0668249163242276e-08,kg,False
Non-hazardous waste disposed,25.62780272168542,kg,False
"Occupation, dump site",0.16691569425205058,m2*a,True
"Transformation, from unspecified",0.0016550279351378516,m2,True
"Transformation, to dump site",0.0013234773177361423,m2,True
Sulfur hexafluoride,1.906763496019045e-07,kg,False
"Particulate Matter, > 10 um",0.0051519580157086825,kg,False
Nickel II,1.5485844405971012e-06,kg,False
"COD, Chemical Oxygen Demand",7.344333547330995e-06,kg,False
Sulfate,0.008527144751377188,kg,False
Manganese II,2.8485105681764723e-05,kg,False
"DOC, Dissolved Organic Carbon",2.804357454262143e-05,kg,False
"TOC, Total Organic Carbon",2.804357454262143e-05,kg,False
Iron ion,0.0003306166288429922,kg,False
Chromium III,6.4701308524565185e-09,kg,False
