Impact category,Amount (Normalized),Normalized Unit
Acidification,0.11698821495799347,mol H+-Eq/ref
Climate change,0.04939464293060044,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.12805044872281054,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.22980858070853746,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.3656619815064794,kg P-Eq/ref
Eutrophication: marine,0.03017944356316321,kg N-Eq/ref
Eutrophication: terrestrial,0.03771992162380927,mol N-Eq/ref
Human toxicity: carcinogenic,0.04533298431250228,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.46014874526239086,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.17676771230214938,kBq U235-Eq/ref
Land use,0.010459013732451306,dimensionless/ref
Material resources: metals/minerals,1.1108704541933931,kg Sb-Eq/ref
Ozone depletion,7.818046715141651e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0845132855632547,disease incidence/ref
Photochemical oxidant formation: human health,0.04942973124510918,kg NMVOC-Eq/ref
Water use,0.33028991263791313,m3 world Eq deprived/ref
