Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.27802063272770255,mol H+-Eq,0.0050031118950035385,mol H+-Eq/ref
Climate change,13.168292399672959,kg CO2-Eq,0.0017434327301174134,kg CO2-Eq/ref
Climate change: biogenic,0.03555280700889699,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,13.110648448974676,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.022091143689387555,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,406.96312842805474,CTUe,0.007175381218968735,CTUe/ref
"Ecotoxicity: freshwater, inorganics",399.4410438779481,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",7.522084550106705,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,175.2976700132658,"MJ, net calorific value",0.0026967105068213585,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.023575543709567475,kg P-Eq,0.014671881313006216,kg P-Eq/ref
Eutrophication: marine,0.023374122126572444,kg N-Eq,0.001195902021517546,kg N-Eq/ref
Eutrophication: terrestrial,0.28439759633982076,mol N-Eq,0.0016089932203423914,mol N-Eq/ref
Human toxicity: carcinogenic,2.2780534121840744e-08,CTUh,0.0013203886953405367,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.916400595298885e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.6165281688518957e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.9239570840842983e-06,CTUh,0.014944981078208878,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.8125721771294182e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.1138490695487961e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.2284891990308775,kBq U235-Eq,0.0002910999137952518,kBq U235-Eq/ref
Land use,139.18033372932078,dimensionless,0.00016983604922319196,dimensionless/ref
Material resources: metals/minerals,0.00474562330787507,kg Sb-Eq,0.07459019576411738,kg Sb-Eq/ref
Ozone depletion,2.5302181562904636e-07,kg CFC-11-Eq,4.83342180080417e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.1865476037297367e-06,disease incidence,0.001992968377034227,disease incidence/ref
Photochemical oxidant formation: human health,0.09183481652150513,kg NMVOC-Eq,0.0022475922588680044,kg NMVOC-Eq/ref
Water use,5.162006978909201,m3 world Eq deprived,0.00045009487475385025,m3 world Eq deprived/ref
