Impact category,Amount (Normalized),Normalized Unit
Acidification,0.000813096641332329,mol H+-Eq/ref
Climate change,0.00026768278300338586,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.001309939723131084,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.00041507083451413935,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.002404739447909308,kg P-Eq/ref
Eutrophication: marine,0.00019359946328720997,kg N-Eq/ref
Eutrophication: terrestrial,0.00025557013227829416,mol N-Eq/ref
Human toxicity: carcinogenic,0.00019073416691019665,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0021010444977028267,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,4.117866207773043e-05,kBq U235-Eq/ref
Land use,2.3060781768860913e-05,dimensionless/ref
Material resources: metals/minerals,0.014398974188713136,kg Sb-Eq/ref
Ozone depletion,9.424602879689267e-07,kg CFC-11-Eq/ref
Particulate matter formation,0.0002994667075210606,disease incidence/ref
Photochemical oxidant formation: human health,0.00038236487073585674,kg NMVOC-Eq/ref
Water use,6.881116379117369e-05,m3 world Eq deprived/ref
