Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0052111957473598945,mol H+-Eq/ref
Climate change,0.005961253941440965,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.026516872475287393,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.008995254960674059,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.044558667632712365,kg P-Eq/ref
Eutrophication: marine,0.0034391041851158555,kg N-Eq/ref
Eutrophication: terrestrial,0.004090990745696163,mol N-Eq/ref
Human toxicity: carcinogenic,0.0014800791950576161,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.012417484795182185,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0011976265664194604,kBq U235-Eq/ref
Land use,0.00026189622169669194,dimensionless/ref
Material resources: metals/minerals,0.32534937833403477,kg Sb-Eq/ref
Ozone depletion,5.404095421046852e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0044070300255315805,disease incidence/ref
Photochemical oxidant formation: human health,0.004713659893079374,kg NMVOC-Eq/ref
Water use,0.0013415994023573857,m3 world Eq deprived/ref
