Impact category,Amount (Normalized),Normalized Unit
Acidification,0.007297208541377206,mol H+-Eq/ref
Climate change,0.0015104825073567708,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.008164859295988081,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.001979261811219143,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.020458005084318318,kg P-Eq/ref
Eutrophication: marine,0.0013824163980616074,kg N-Eq/ref
Eutrophication: terrestrial,0.001958542288048712,mol N-Eq/ref
Human toxicity: carcinogenic,0.002366443429968106,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.03040692559328798,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00021639204092065056,kBq U235-Eq/ref
Land use,0.00018065143019991046,dimensionless/ref
Material resources: metals/minerals,0.07477121989712726,kg Sb-Eq/ref
Ozone depletion,0.00045418480470091604,kg CFC-11-Eq/ref
Particulate matter formation,0.0022065087106409673,disease incidence/ref
Photochemical oxidant formation: human health,0.0025766883447740615,kg NMVOC-Eq/ref
Water use,0.0004516843500107237,m3 world Eq deprived/ref
