Impact category,Amount (Normalized),Normalized Unit
Acidification,0.015781144096400104,mol H+-Eq/ref
Climate change,0.012051417627271731,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.015900361755033607,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.018892248602181545,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.03361797045034697,kg P-Eq/ref
Eutrophication: marine,0.0053261434075664,kg N-Eq/ref
Eutrophication: terrestrial,0.006097609724299558,mol N-Eq/ref
Human toxicity: carcinogenic,0.0027481265262607286,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.017147449061486183,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.002090353605438442,kBq U235-Eq/ref
Land use,0.00033590357755834856,dimensionless/ref
Material resources: metals/minerals,0.08233745007000041,kg Sb-Eq/ref
Ozone depletion,4.525199248939681e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.0087769228715742,disease incidence/ref
Photochemical oxidant formation: human health,0.015751825692658036,kg NMVOC-Eq/ref
Water use,0.0025680361965089563,m3 world Eq deprived/ref
