Impact category,Amount (Normalized),Normalized Unit
Acidification,1.0507565353819381,mol H+-Eq/ref
Climate change,0.21403612900557414,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1.1972688506908538,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.7150573731542692,"MJ, net calorific value/ref"
Eutrophication: freshwater,2.994806981067133,kg P-Eq/ref
Eutrophication: marine,0.19070751814510498,kg N-Eq/ref
Eutrophication: terrestrial,0.2677816352367134,mol N-Eq/ref
Human toxicity: carcinogenic,0.3512851446789798,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.4748340156268664,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.4557983992861145,kBq U235-Eq/ref
Land use,0.04269144811059395,dimensionless/ref
Material resources: metals/minerals,11.572225934555531,kg Sb-Eq/ref
Ozone depletion,0.0009594809226619931,kg CFC-11-Eq/ref
Particulate matter formation,0.34782875088731624,disease incidence/ref
Photochemical oxidant formation: human health,0.3482379380242682,kg NMVOC-Eq/ref
Water use,0.865110658476338,m3 world Eq deprived/ref
