Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004381529270495604,mol H+-Eq/ref
Climate change,0.0004979442446527761,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.004844232588273984,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0008697791365982555,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.012112337092901649,kg P-Eq/ref
Eutrophication: marine,0.0006375012507372805,kg N-Eq/ref
Eutrophication: terrestrial,0.0009713213937210311,mol N-Eq/ref
Human toxicity: carcinogenic,0.0014483307847916104,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.019672953506265845,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,8.171712887823637e-05,kBq U235-Eq/ref
Land use,9.76043628606058e-05,dimensionless/ref
Material resources: metals/minerals,0.04872972329871953,kg Sb-Eq/ref
Ozone depletion,1.2962447423814052e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0009981528082148195,disease incidence/ref
Photochemical oxidant formation: human health,0.0012296383278088427,kg NMVOC-Eq/ref
Water use,0.00024254859228949892,m3 world Eq deprived/ref
