Impact category,Amount (Normalized),Normalized Unit
Acidification,0.003146765442954333,mol H+-Eq/ref
Climate change,0.0014202527275879388,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.002910403989639618,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0021793736143554134,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.007506781952018152,kg P-Eq/ref
Eutrophication: marine,0.0008104889593511453,kg N-Eq/ref
Eutrophication: terrestrial,0.0010203758919237456,mol N-Eq/ref
Human toxicity: carcinogenic,0.0007821600249204314,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.007127711287741257,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00028752605618062897,kBq U235-Eq/ref
Land use,6.797945546089881e-05,dimensionless/ref
Material resources: metals/minerals,0.034889018118386746,kg Sb-Eq/ref
Ozone depletion,3.185796834615779e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0012999083658796914,disease incidence/ref
Photochemical oxidant formation: human health,0.0016669157554018458,kg NMVOC-Eq/ref
Water use,0.00040582736592902654,m3 world Eq deprived/ref
