Flow,Amount,Unit,Is input
Water,0.10093097595249152,m3,False
"Transformation, to industrial area",0.0007268449093930478,m2,True
"Transformation, to lake, artificial",0.0005127882161995838,m2,True
"Water, turbine use, unspecified natural origin",77.60944811991281,m3,True
"Transformation, from forest, unspecified",0.0005881413557275618,m2,True
"Energy, potential (in hydropower reservoir), converted",10.580726758213277,MJ,True
"Carbon dioxide, from soil or biomass stock",0.024156232404926127,kg,False
Water,78.30255958378326,m3,False
"Methane, non-fossil",0.0008261028704016054,kg,False
"Volume occupied, reservoir",0.6267805721870545,m3*a,True
"Occupation, lake, artificial",0.07016310855370371,m2*a,True
Water,1.2565638879906547,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.00019150002248623623,kg,False
"Hydrocarbons, unspecified",2.324442364622376e-06,kg,False
Cadmium II,6.477765982894217e-08,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.693340199032935e-12,kg,False
Selenium IV,2.4767327991488022e-08,kg,False
Chromium VI,1.3343195405134522e-08,kg,False
Vanadium V,2.2219937969342814e-09,kg,False
Copper ion,4.130379134031998e-06,kg,False
"TOC, Total Organic Carbon",0.00025905396599084046,kg,False
Ammonia,0.0018672508816615437,kg,False
Arsenic ion,1.3720618038054605e-07,kg,False
Chromium III,4.946959566759221e-07,kg,False
Zinc II,2.901479262428895e-06,kg,False
Nitrogen,1.0148949545652174e-06,kg,False
"Water, unspecified natural origin",0.022217981695528147,m3,True
"AOX, Adsorbable Organic Halides",1.8744880502089702e-07,kg,False
Benzene,9.66214891905542e-06,kg,False
Rhodium III,9.532803648771661e-11,kg,False
Mercury II,6.0475165603868395e-09,kg,False
Chloride,0.012652314611395118,kg,False
Tin ion,2.8932307283882406e-07,kg,False
Formaldehyde,5.261272896260381e-06,kg,False
Nickel II,5.7869027343407e-07,kg,False
Sulfate,0.0007782174504177679,kg,False
Sulfide,4.1745099941629014e-06,kg,False
Selenium IV,4.507783640730706e-09,kg,False
"Suspended solids, unspecified",4.641158466190999e-05,kg,False
Nitrogen oxides,0.013651323550113895,kg,False
Tellurium,1.4699879336184722e-10,kg,False
Platinum,9.532803648771661e-11,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.7298496839171965e-10,kg,False
Beryllium II,9.245767494222566e-10,kg,False
Palladium II,9.704269323478362e-11,kg,False
Vanadium V,9.743157977222942e-07,kg,False
Copper ion,9.982955865026657e-07,kg,False
Antimony ion,3.555446480878738e-07,kg,False
Ammonium,6.234930568959867e-05,kg,False
Cobalt II,8.2006224994364e-08,kg,False
Arsenic ion,8.763552964222115e-09,kg,False
Fluoride,3.952471793516094e-06,kg,False
Barium II,9.202501555492486e-07,kg,False
Hydrogen fluoride,6.2187744931616785e-06,kg,False
Lead II,1.9937038475975938e-06,kg,False
Hydrochloric acid,4.7189808532910076e-05,kg,False
Boron,4.4315582009585737e-08,kg,False
Chromium III,1.5738846357550136e-05,kg,False
Sodium I,0.006060209710762147,kg,False
"NMVOC, non-methane volatile organic compounds",0.002376995951087192,kg,False
t-Butyl methyl ether,2.215779100479284e-09,kg,False
Cyanide,3.067424362461393e-06,kg,False
"Heat, waste",0.17788642395960827,MJ,False
Nickel II,1.1845082621890024e-06,kg,False
Hydrogen sulfide,8.737876950574777e-05,kg,False
Cobalt II,3.52934366757575e-09,kg,False
Mercury II,3.097071840200701e-08,kg,False
Benzene,3.180540972343954e-05,kg,False
"Particulate Matter, < 2.5 um",0.0004925542031559964,kg,False
"Carbon monoxide, fossil",0.00586674662798358,kg,False
Cadmium II,2.9104108794008237e-08,kg,False
"Xylenes, unspecified",2.3607440775224264e-06,kg,False
Dinitrogen monoxide,0.00016391844242001405,kg,False
Toluene,1.3561109501015566e-06,kg,False
"Particulate Matter, > 10 um",0.0015696813130178194,kg,False
Thallium I,4.451987730288639e-09,kg,False
Aluminium III,8.270656908219852e-08,kg,False
Nitrate,1.1787469772540388e-05,kg,False
"Xylenes, unspecified",3.7613141934463294e-08,kg,False
Nitrite,1.0966669046841433e-08,kg,False
"BOD5, Biological Oxygen Demand",0.000824864757906698,kg,False
Molybdenum VI,1.1078895502396434e-09,kg,False
"Heat, waste",0.0279213985901568,MJ,False
Water,0.04140381964225691,m3,False
Benzo(a)pyrene,3.5209653680032753e-09,kg,False
"Water, cooling, unspecified natural origin",0.7578466496409683,m3,True
Manganese II,3.5670583402979136e-07,kg,False
Zinc II,7.279468291238667e-07,kg,False
Iron ion,2.901070882495895e-05,kg,False
Manganese II,1.1129451088114229e-07,kg,False
Toluene,3.1028973771775667e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.9318038656431204e-07,kg,False
Lead II,4.760731938499445e-07,kg,False
Tin ion,1.1328210711235406e-09,kg,False
Phenol,5.429128980004615e-06,kg,False
"Carbon dioxide, fossil",0.6862156830419686,kg,False
"Methane, fossil",3.500378012184547e-05,kg,False
Phosphorus,1.3977389924764273e-07,kg,False
"Carbon dioxide, non-fossil",0.013733168276927945,kg,False
Sulfur dioxide,0.0010524238185353032,kg,False
"DOC, Dissolved Organic Carbon",0.00025946909180717023,kg,False
"COD, Chemical Oxygen Demand",0.0008350780239396233,kg,False
"Water, well, in ground",0.019655269680423686,m3,True
"DOC, Dissolved Organic Carbon",0.01229329150567604,kg,False
Chloride,0.026790067425736065,kg,False
"COD, Chemical Oxygen Demand",0.00402829710622037,kg,False
Phenol,2.774369389676531e-05,kg,False
Chlorine,3.793872512219963e-05,kg,False
"Water, river",0.058775202560626044,m3,True
Sodium I,0.05388700894557266,kg,False
"Carbon dioxide, fossil",1.1049783795849957,kg,False
Phenol,2.0403556033462077e-06,kg,False
"TOC, Total Organic Carbon",0.002692389707021538,kg,False
"BOD5, Biological Oxygen Demand",0.0019377821418417888,kg,False
Hydrogen,0.0012343868803584733,kg,False
Ammonia,3.872052437933907e-05,kg,False
Benzene,3.171018715702572e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.004515596352809647,kg,False
Nickel II,0.00015425438845435475,kg,False
"PAH, polycyclic aromatic hydrocarbons",7.652776238871102e-06,kg,False
"Carbon dioxide, fossil",7.9541592637738345,kg,False
Selenium IV,1.5032883605934747e-06,kg,False
Lead II,1.63828878929545e-07,kg,False
"Methane, fossil",0.023616401218819538,kg,False
Sulfur dioxide,0.1022099546222205,kg,False
Cadmium II,1.13534754336921e-07,kg,False
Benzo(a)pyrene,6.386849601505864e-08,kg,False
Dinitrogen monoxide,0.00013873640486567528,kg,False
Copper ion,2.2888960807671415e-05,kg,False
"Carbon monoxide, fossil",0.003897832029310767,kg,False
Zinc II,1.1788600619262328e-06,kg,False
"Particulate Matter, < 2.5 um",0.012581469156492253,kg,False
Cadmium II,2.7246494385947182e-05,kg,False
Chromium III,2.1422628002245004e-05,kg,False
Nitrogen oxides,0.0193747071552798,kg,False
Zinc II,7.598242569589826e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.568958798475929e-13,kg,False
Dinitrogen monoxide,0.0002263949757038205,kg,False
"Carbon monoxide, fossil",0.0009841902736017435,kg,False
Sulfur dioxide,0.004903557648786102,kg,False
"NMVOC, non-methane volatile organic compounds",0.01328751081413148,kg,False
"Methane, fossil",0.0007761746750986451,kg,False
Nitrogen oxides,0.0028875244508669326,kg,False
Oxygen,0.7774193196375908,kg,True
"Heat, waste",1.5819946986254256,MJ,False
Mercury II,1.5334667917471924e-08,kg,False
Non-hazardous waste disposed,52.04949626629203,kg,False
"Occupation, dump site",0.22401156613171838,m2*a,True
"Transformation, from unspecified",0.005919636329604684,m2,True
"Transformation, to dump site",0.001790208129656435,m2,True
Sulfur hexafluoride,1.8833991934885324e-06,kg,False
"Particulate Matter, > 10 um",0.018354292943508155,kg,False
Nickel II,3.240031300351949e-06,kg,False
"COD, Chemical Oxygen Demand",3.0109480847824526e-05,kg,False
Sulfate,0.024734716807983885,kg,False
Manganese II,6.346614685345738e-05,kg,False
"DOC, Dissolved Organic Carbon",6.075090226911917e-05,kg,False
"TOC, Total Organic Carbon",6.075090226911917e-05,kg,False
Iron ion,0.0019147506537662022,kg,False
Chromium III,8.918818616152805e-09,kg,False
Dissolved solids,0.0004037022806570435,kg,False
Arsenic ion,2.558676658109213e-06,kg,False
Cadmium II,4.994662489811001e-07,kg,False
Lead II,6.336636663539137e-07,kg,False
"Occupation, industrial area",0.029449466178015478,m2*a,True
Selenium IV,3.932079080862232e-07,kg,False
"BOD5, Biological Oxygen Demand",6.660190458522362e-06,kg,False
"Solids, inorganic",0.003849880514029377,kg,False
Tin ion,1.0303237187211327e-06,kg,False
Chloride,0.03512885398585047,kg,False
Copper ion,1.3462114875060762e-05,kg,False
Uranium alpha,0.005652403073523959,kBq,False
"Transformation, to mineral extraction site",0.0014894443629895943,m2,True
Uranium,3.4405562285437266e-05,kg,True
Radon-222,18.33891334026643,kBq,False
Radium-226,0.2211772242176075,kBq,False
Gangue,45.982794245142244,kg,True
"Suspended solids, unspecified",0.0002888493033916792,kg,False
"Transformation, from industrial area",5.070710604076489e-06,m2,True
Molybdenum VI,4.325425366558597e-06,kg,False
Sulfate,0.019209570655072505,kg,False
Cadmium II,8.253024976180315e-07,kg,False
Aluminium III,9.276606275808406e-05,kg,False
Nitrate,0.0004411874634539959,kg,False
Magnesium,0.001553057040711234,kg,False
Lead II,1.69011053897064e-06,kg,False
Arsenic ion,2.819315955666279e-06,kg,False
Selenium IV,1.4262096159644324e-06,kg,False
Uranium alpha,0.0003409636247827793,kBq,False
Ammonium,0.0002164647555018344,kg,False
"Occupation, mineral extraction site",0.04208751646269655,m2*a,True
Zinc II,3.109993507882232e-05,kg,False
Barium II,5.039678934187068e-05,kg,False
Iron ion,6.663838251109132e-05,kg,False
Thorium-230,0.012265816747332643,kBq,False
Vanadium V,2.1134172043600797e-06,kg,False
Manganese II,5.763920555664104e-06,kg,False
"Transformation, to unspecified",0.0025523111649331277,m2,True
"Energy, solar, converted",0.026660097724277385,MJ,True
"Transformation, from pasture, man made",0.000311367652197044,m2,True
"Occupation, river, artificial",0.009510878500579589,m2*a,True
"Transformation, from shrub land, sclerophyllous",0.00015458105364456485,m2,True
"Transformation, to river, artificial",0.00010972012467996527,m2,True
Nitrobenzene,2.668975912354426e-07,kg,False
Aniline,6.717129693527247e-08,kg,False
Chlorine,2.6060646396959648e-05,kg,False
Vinyl chloride,1.8234406451578634e-07,kg,False
"1,1,2-Trichloroethane",7.60835488529246e-09,kg,False
Zirconium-95,0.001268027300440981,kBq,False
Niobium-95,0.003106340501240538,kBq,False
"Hydrocarbons, unspecified",3.6567773899955825e-06,kg,False
Technetium-99m,1.2784467830845932e-05,kBq,False
Antimony-124,0.0028243426505829682,kBq,False
"Noble gases, radioactive, unspecified",184.20107909592215,kBq,False
Cobalt-58,0.0011345082501496744,kBq,False
Antimony-125,4.208079228215767e-05,kBq,False
Molybdenum-99,4.820685056090326e-07,kBq,False
Chromium-51,0.00010061728461013977,kBq,False
Zinc-65,0.00024824444327770627,kBq,False
Iodine-131,0.0005514231857777623,kBq,False
Antimony-125,2.265547159845757e-08,kBq,False
Tritium,16.42247426134217,kBq,False
Antimony-122,8.75237022436272e-07,kBq,False
Cobalt-60,1.4405764756972815e-07,kBq,False
Ruthenium-103,2.831162780006241e-07,kBq,False
Silver-110,3.0304113719305512e-09,kBq,False
Strontium-89,1.0397389580687441e-05,kBq,False
Water,0.007228896977807972,m3,False
Barium-140,5.007829043810519e-07,kBq,False
Xenon-133,0.6971378237211738,kBq,False
Caesium-136,2.7205929569090307e-07,kBq,False
Iodine-133,1.7620922354355402e-06,kBq,False
Tellurium-132,8.152097045257721e-08,kBq,False
Zirconium-95,5.6388777463243663e-08,kBq,False
Krypton-85m,0.013537014351158613,kBq,False
Tellurium-123m,1.7216286815037882e-06,kBq,False
Cobalt-60,0.0006493053302956892,kBq,False
Niobium-95,3.6714445108495347e-06,kBq,False
Iodine-133,1.083518915872062e-06,kBq,False
"Radioactive species, alpha emitters",6.683803750623548e-06,kBq,False
Carbon-14,0.00031063399690521023,kBq,False
Lanthanum-140,1.7035330257023266e-06,kBq,False
Cerium-144,4.6666398762644083e-07,kBq,False
Cobalt-57,8.636188318728995e-06,kBq,False
Carbon-14,0.043753196628263456,kBq,False
Antimony-124,1.0410846342649592e-09,kBq,False
"Aerosols, radioactive, unspecified",2.280003970485502e-06,kBq,False
Manganese-54,3.284908925299107e-05,kBq,False
Caesium-137,1.0768171327082828e-07,kBq,False
Iron-59,0.00253377352901793,kBq,False
Xenon-135,0.2302349542429607,kBq,False
Cerium-141,6.332058829303491e-07,kBq,False
Caesium-137,0.00023298452617183735,kBq,False
Caesium-134,2.2185711445678017e-05,kBq,False
Sodium-24,9.998803209960211e-06,kBq,False
"Radioactive species, other beta emitters",1.0609048468743495e-07,kBq,False
Iodine-131,0.0001927507316358571,kBq,False
Cobalt-58,2.1313470656084045e-08,kBq,False
Strontium-90,0.004701518410815624,kBq,False
Silver-110,0.00035629617645813427,kBq,False
"Transformation, from dump site",6.910381008440032e-05,m2,True
"Transformation, to forest, unspecified",0.00012987729448978358,m2,True
Vanadium V,0.0002745617271407826,kg,False
"Transformation, from traffic area, road network",4.146252791338355e-05,m2,True
"Transformation, to traffic area, road network",9.48971054673604e-05,m2,True
Silicon,0.2324769947261383,kg,False
"Transformation, to shrub land, sclerophyllous",0.0001074560574774062,m2,True
"Occupation, shrub land, sclerophyllous",0.0005372779073312433,m2*a,True
Hazardous waste disposed,36.135431116807496,kg,False
"Waste mass, total, placed in landfill",1.5647930001237607,kg,True
"Occupation, traffic area, road network",0.015297838193916183,m2*a,True
Molybdenum VI,0.00022366039501523405,kg,False
"Occupation, construction site",0.0018867185962986026,m2*a,True
"Transformation, to pasture, man made",4.5276937562852975e-05,m2,True
Silicon,0.0008786986439674339,kg,False
Iron ion,0.3749919160844931,kg,False
Zinc II,2.4709172085442975e-06,kg,False
Propylene,1.621936700523048e-05,kg,False
"Hydrocarbons, aliphatic, alkanes, cyclic",4.11872423786489e-06,kg,False
"Particulate Matter, < 2.5 um",0.0013578305049100877,kg,False
Propylene oxide,9.747289225681602e-06,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.923349880848274e-07,kg,False
Methyl ethyl ketone,0.00012385096427341245,kg,False
Heptane,8.225094152614298e-07,kg,False
Copper ion,8.538871635498502e-05,kg,False
Ethane,3.92081261884036e-06,kg,False
Nickel II,1.313310255318688e-06,kg,False
Toluene,2.1061303183749443e-06,kg,False
Benzene,1.672047437160146e-05,kg,False
Isohexane,9.577262418517553e-09,kg,False
Ethylene oxide,9.72018949346745e-07,kg,False
1-Pentene,1.2269026523510046e-10,kg,False
o-Xylene,1.0595958019160922e-09,kg,False
Pentane,1.0231488619616252e-05,kg,False
Ethylene,9.668096525996729e-06,kg,False
Cadmium II,2.471563273103144e-07,kg,False
Propane,3.431215977551625e-06,kg,False
Acetone,0.00013875436932141218,kg,False
m-Xylene,2.883892665493797e-07,kg,False
Acrolein,4.175016612535936e-09,kg,False
Chromium VI,1.0513996354903808e-08,kg,False
Formaldehyde,7.059292902677548e-05,kg,False
Benzaldehyde,1.8280765599202149e-09,kg,False
Butane,1.398000686000286e-05,kg,False
Selenium IV,5.887272442016099e-08,kg,False
Styrene,5.12233586230101e-07,kg,False
Hexane,3.1576710317044903e-06,kg,False
Acetaldehyde,3.296165366829818e-06,kg,False
Chromium III,1.408750953692982e-07,kg,False
Ammonia,0.00012204575145316795,kg,False
Lead II,5.107648765441709e-07,kg,False
Hydrogen,6.926376475396739e-05,kg,False
Ethylene,5.290417837463225e-10,kg,False
Lead II,0.00020411263238660277,kg,False
Propane,6.475534954317358e-05,kg,False
Arsenic ion,7.852008182967916e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.318330637796781e-12,kg,False
Propionic acid,4.821944705628689e-07,kg,False
Butane,8.401557055384747e-05,kg,False
Acenaphthene,1.4084039285042285e-08,kg,False
Beryllium II,2.863988242165834e-08,kg,False
Hexane,4.452051562758731e-05,kg,False
Manganese II,3.111473257005132e-05,kg,False
Acetaldehyde,8.95357844515181e-06,kg,False
Formaldehyde,1.5180255364327718e-05,kg,False
Cobalt II,9.405761884998456e-07,kg,False
Pentane,7.730231638320147e-05,kg,False
Acetic acid,4.4079968766849965e-06,kg,False
Toluene,1.4265366955743901e-05,kg,False
Ethane,0.00013797347241199096,kg,False
Mercury II,4.6532244280276923e-07,kg,False
Scandium,1.5385884805564383e-06,kg,False
Lead II,0.005113848705594385,kg,False
Cadmium II,0.00013955996101027302,kg,False
Molybdenum VI,7.0715721472614105e-06,kg,False
Vanadium V,2.3604099549816384e-07,kg,False
Thallium I,4.5052183868860934e-08,kg,False
Antimony ion,8.916759446598515e-07,kg,False
Iodide,9.327470695775674e-08,kg,False
Boron,1.439401771753473e-06,kg,False
Thallium I,0.00025537582898016735,kg,False
Magnesium,0.001422673138597651,kg,False
